firm_name,date_published,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant,register_consulted,lookup_date
Balaji Wafers Pvt Ltd,02/13/2025,False,False,False,,Not Verified,
Bikaji Foods International Ltd.,09/09/2016,False,False,False,,Not Verified,
Brahmins Foods India Private Ltd,07/16/2013,False,False,False,,Not Verified,
Brahmins Foods India Pvt. Ltd.,10/30/2013,False,False,False,,Not Verified,
CHARMINAR FOODS & EXPORTS PVT LTD,03/20/2015,False,False,False,,Not Verified,
CM Tech & Traders,04/24/2017,False,False,False,,Not Verified,
CUCKU ENTERPRISES PVT. LTD.,11/19/2013,False,False,False,,Not Verified,
Charminar Foods & Exports Pvt Ltd.,10/17/2014,False,False,False,,Not Verified,
DAKSH FOODS PVT LTD,07/17/2013,False,False,False,,Not Verified,
DEMOLEN EXPORT PRIVATE LTD.,02/19/2016,False,False,False,,Not Verified,
DEMOLEN EXPORTS PVT LTD,09/16/2009,False,False,False,,Not Verified,
DIVINE GROCERIES PVT. LTD.,02/28/2018,False,False,False,,Not Verified,
Devi Exports Pvt Ltd,01/21/2011,False,False,False,,Not Verified,
Dharya Enterprise,12/05/2023,False,False,False,,Not Verified,
EVERGREEN EXPORTS,06/30/2014,False,False,False,,Not Verified,
EVERGREEN EXPORTS,09/13/2018,False,False,False,,Not Verified,
Eastern Condiments Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Eastern Condiments Pvt Ltd,03/16/2011,False,False,False,,Not Verified,
Eastern Condiments Pvt. Ltd,09/16/2009,False,False,False,,Not Verified,
EcoFarms (India) Ltd,07/18/2017,False,False,False,,Not Verified,
Empire Spices & Food Ltd,09/20/2010,False,False,False,,Not Verified,
Everest Food Products Private Limited,04/20/2023,False,False,False,,Not Verified,
Farmico Exports,12/22/2010,False,False,False,,Not Verified,
Frontal Agritech Private Limited,04/15/2014,False,False,False,,Not Verified,
G.R.K. and Company,09/16/2009,False,False,False,,Not Verified,
GRB DAIRY FOODS PVT LTD,10/29/2021,False,False,False,,Not Verified,
GREEN DOT HEALTH FOODS PVT. LTD,08/07/2018,False,False,False,,Not Verified,
Ganpati Scientifics,01/19/2022,False,False,False,,Not Verified,
Garden Valley Export Corporation,06/23/2010,False,False,False,,Not Verified,
Gate Foods Private Limited,12/22/2023,False,False,False,,Not Verified,
Gautam Export Corporation,09/16/2009,False,False,False,,Not Verified,
Gayatri Masala Exporter,09/16/2009,False,False,False,,Not Verified,
Geo-fresh Organic,09/16/2009,False,False,False,,Not Verified,
Ghanshyam Exporter,09/16/2009,False,False,False,,Not Verified,
Giriraj International,04/16/2012,False,False,False,,Not Verified,
Giriraj International,09/16/2009,False,False,False,,Not Verified,
Global Exports,09/16/2009,False,False,False,,Not Verified,
Golden Temple Foods Pvt.,09/16/2009,False,False,False,,Not Verified,
Grannys Spices INDIA LLP,12/10/2019,False,False,False,,Not Verified,
Green Fiesta Pvt. Ltd,09/16/2009,False,False,False,,Not Verified,
Green Vegetation Extracts (India) L,09/16/2009,False,False,False,,Not Verified,
Grover Sons,09/16/2009,False,False,False,,Not Verified,
Gsv International,09/16/2009,False,False,False,,Not Verified,
Gujarat Sesame Exports Co.,11/08/2010,False,False,False,,Not Verified,
H. S. Bajaj & Sons (Bombay) Pvt. Ltd.,09/16/2009,False,False,False,,Not Verified,
H.S. ENTERPRISES,09/16/2009,False,False,False,,Not Verified,
HALDIRAM SNACKS PVT LTD,03/13/2025,False,False,False,,Not Verified,
HALDIRAM SNACKS PVT. LTD.,01/10/2023,False,False,False,,Not Verified,
HAMRAZ FOOD PRODUCTS PVT. LTD.,05/16/2011,False,False,False,,Not Verified,
HARIHAR FOODS PVT LTD,03/10/2010,False,False,False,,Not Verified,
Haldiram Foods International Pvt. Ltd,12/05/2014,False,False,False,,Not Verified,
Macaroni/Noodle Products,12/23/2021,False,False,False,,Not Verified,
07 - - - --,12/23/2021,False,False,False,,Not Verified,
24 - - - --,12/23/2021,False,False,False,,Not Verified,
28 - - - --,12/23/2021,False,False,False,,Not Verified,
Haldiram Manufacturing Co. Pvt. Ltd.,10/27/2009,False,False,False,,Not Verified,
Haldiram Snacks Pvt. Ltd.,09/13/2024,False,False,False,,Not Verified,
Haldiram Snacks Pvt. Ltd.,11/17/2021,False,False,False,,Not Verified,
Haldiram Snacks Pvt. Ltd.,10/25/2023,False,False,False,,Not Verified,
Hanuman Industries,07/23/2012,False,False,False,,Not Verified,
Harihar Foods Pvt Ltd,08/19/2022,False,False,False,,Not Verified,
IMPROVA HERBAL PRODUCTS,07/16/2026,False,False,False,,Not Verified,
INFLUX HEALTHCARE,05/19/2026,False,False,False,,Not Verified,
ISHA LIFE PRIVATE LIMITED,06/10/2025,False,False,False,,Not Verified,
Ideal Trading Co,09/16/2009,False,False,False,,Not Verified,
Impex Diamonds,09/16/2009,False,False,False,,Not Verified,
Indexpo Enterprises,09/23/2010,False,False,False,,Not Verified,
Indica Exporters,09/16/2009,False,False,False,,Not Verified,
Indo Canadian Foods Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Indo Canadian Foods Pvt. Ltd.,09/16/2009,False,False,False,,Not Verified,
Innovative Cuisine Pvt Ltd,06/25/2025,False,False,False,,Not Verified,
Water Chestnut (Root & Tuber Vegetable),09/02/2025,False,False,False,,Not Verified,
Intergrow Brands Private Limited,11/03/2016,False,False,False,,Not Verified,
Iyengar & Company,09/16/2009,False,False,False,,Not Verified,
J R SHAH,09/19/2022,False,False,False,,Not Verified,
J.B. Spices,09/16/2009,False,False,False,,Not Verified,
JAFFERBHOY SALEHBHOY & CO,08/30/2010,False,False,False,,Not Verified,
JAYANTKUMAR & CO,09/16/2009,False,False,False,,Not Verified,
JKM Enterprise Private Limited,05/12/2017,False,False,False,,Not Verified,
Jalaram Gruh Udyog,07/27/2026,False,False,False,,Not Verified,
Jaldhara Super Market,04/03/2013,False,False,False,,Not Verified,
K-Pra Foods Private Limited,07/25/2018,False,False,False,,Not Verified,
K.B.Exports,09/16/2009,False,False,False,,Not Verified,
K.K. ENTERPRISE,08/23/2010,False,False,False,,Not Verified,
K.K.R. Food Products,09/16/2009,False,False,False,,Not Verified,
K.M. Ganatra & Co,09/16/2009,False,False,False,,Not Verified,
K.P.Overseas Manufacture & packing,03/22/2013,False,False,False,,Not Verified,
KEVAL EXPORTS PVT LTD,07/27/2026,False,False,False,,Not Verified,
KEVENTER GLOBAL PVT LTD,10/13/2020,False,False,False,,Not Verified,
KHYATI  ADVISORY SERVICES LTD,07/17/2024,False,False,False,,Not Verified,
KITCHEN XPRESS OVERSEAS LTD,09/16/2009,False,False,False,,Not Verified,
KRISHNA EXPORTS,09/16/2009,False,False,False,,Not Verified,
KWIK CHEF FOODS (Unit Patfam Marketing Services),09/16/2009,False,False,False,,Not Verified,
"Kanaiya Exports Pvt ,Limited",08/03/2015,False,False,False,,Not Verified,
Karan International Ltd,12/06/2010,False,False,False,,Not Verified,
Kays Spices And Agro Inds. Ltd.,09/16/2009,False,False,False,,Not Verified,
Keval Exports Pvt. Ltd,07/16/2026,False,False,False,,Not Verified,
Kirit Foods Product,09/16/2009,False,False,False,,Not Verified,
Kohinoor Foods Ltd,03/14/2017,False,False,False,,Not Verified,
Kohlico Foods & Beverages Pvt Ltd,06/06/2013,False,False,False,,Not Verified,
"Kohlico Foods & Beverages Pvt.Ltd.,",09/09/2024,False,False,False,,Not Verified,
Kp Overseas,03/22/2013,False,False,False,,Not Verified,
Krrishna Export,04/28/2014,False,False,False,,Not Verified,
Kusum Chandra Damodar & Co,09/16/2009,False,False,False,,Not Verified,
LAKHMI ENTERPRISES,12/07/2010,False,False,False,,Not Verified,
LAXMICHAND DAYABHAI EXPORT,06/24/2021,False,False,False,,Not Verified,
Lakshmi Trading Company,09/16/2009,False,False,False,,Not Verified,
Lazeez FoodStuffs,09/16/2009,False,False,False,,Not Verified,
Lokhandwala Exports,09/16/2009,False,False,False,,Not Verified,
M K Agro Exports,09/16/2009,False,False,False,,Not Verified,
M. D. Foods,05/15/2015,False,False,False,,Not Verified,
M.M. Enterprise,09/16/2009,False,False,False,,Not Verified,
M.M. Poonjiaji Spices Ltd,09/16/2009,False,False,False,,Not Verified,
M.R. Agro Industries,07/02/2021,False,False,False,,Not Verified,
M.S. S. ASAN EXPORTS,04/26/2011,False,False,False,,Not Verified,
M.V.J. Foods (India),09/16/2009,False,False,False,,Not Verified,
M/S Green Earth Products,09/16/2009,False,False,False,,Not Verified,
M/S Jhaveri Industries,06/23/2010,False,False,False,,Not Verified,
M/S KESHAV EXPORTS PVT LTD,09/16/2009,False,False,False,,Not Verified,
M/S Ravi Spice Processors Pvt Ltd,08/01/2012,False,False,False,,Not Verified,
M/S. SHAH AMRUTLAL BACHUBHAI & COMPANY,09/16/2009,False,False,False,,Not Verified,
M/s Dahyabhai Vithaldas,09/16/2009,False,False,False,,Not Verified,
MAC AGRI EXPORTS,12/02/2010,False,False,False,,Not Verified,
MADON PURE FOODS PVT LT,08/03/2022,False,False,False,,Not Verified,
MANJILAS AGRO FOODS PVT.LTD.,10/17/2016,False,False,False,,Not Verified,
MANJILAS FOOD TECH (P) Ltd,10/17/2016,False,False,False,,Not Verified,
MANJILAS FOOD TECH PVT LTD,10/17/2016,False,False,False,,Not Verified,
MATRAS EXPORTERS,07/31/2026,False,False,False,,Not Verified,
MTR Foods Private Limited,09/16/2009,False,False,False,,Not Verified,
Madhur Food Products Ltd,09/16/2009,False,False,False,,Not Verified,
Madon Pure Foods Pvt Ltd,08/03/2022,False,False,False,,Not Verified,
Mahashian Di Hatti Ltd.,09/16/2009,False,False,False,,Not Verified,
Mahashian Di Hatti Pvt. Ltd.,07/12/2016,False,False,False,,Not Verified,
Maiyas Beverages & Foods,06/21/2017,False,False,False,,Not Verified,
"Curry Powder, without Salt",06/21/2017,False,False,False,,Not Verified,
Manjilas Food Tech Pvt. Ltd.,10/17/2016,False,False,False,,Not Verified,
Metco Export International,07/10/2012,False,False,False,,Not Verified,
Miltop Exports,09/16/2009,False,False,False,,Not Verified,
NAZARETH FOODS PVT LTD,09/16/2009,False,False,False,,Not Verified,
NHC Foods Limited,02/16/2011,False,False,False,,Not Verified,
NIKASU FROZEN FOODS INTERNATIONAL,02/26/2010,False,False,False,,Not Verified,
NOVUS LIFE SCIENCES LTD,07/01/2026,False,False,False,,Not Verified,
Nani Agro Foods P Ltd.,09/16/2009,False,False,False,,Not Verified,
Navjyot International,09/16/2009,False,False,False,,Not Verified,
Navrang Herbal,12/05/2023,False,False,False,,Not Verified,
"Nestle India, Pantnagar",06/23/2023,False,False,False,,Not Verified,
OM EXIM CORPORATION,06/10/2025,False,False,False,,Not Verified,
OM SHREE INTERNATIONAL,09/16/2009,False,False,False,,Not Verified,
Obson International Pvt. Ltd.,09/16/2009,False,False,False,,Not Verified,
Omni Exports,09/16/2009,False,False,False,,Not Verified,
Orchid Exim India Private Limited,07/01/2025,False,False,False,,Not Verified,
Organic Products India,01/18/2012,False,False,False,,Not Verified,
P D INTERNATIONAL,12/20/2024,False,False,False,,Not Verified,
P. Mittulaul Lalah And Sons,09/16/2009,False,False,False,,Not Verified,
P.J. Exports,09/16/2009,False,False,False,,Not Verified,
PARLE BISCUITS PVT. LTD.,08/12/2025,False,False,False,,Not Verified,
PARUL EXPORTS,05/03/2012,False,False,False,,Not Verified,
PJ Exports,09/16/2009,False,False,False,,Not Verified,
PRAVIN MASALEWALE,07/18/2014,False,False,False,,Not Verified,
PUNAM AGRO FOODS,06/08/2016,False,False,False,,Not Verified,
Parayil Exports,09/16/2009,False,False,False,,Not Verified,
Parayil Food Products Pvt. Ltd.,08/14/2010,False,False,False,,Not Verified,
Parul Exports,08/01/2018,False,False,False,,Not Verified,
Phalada Agro Research Foundation Pvt. Ltd.,11/03/2016,False,False,False,,Not Verified,
Pooja Dehy Foods Pvt Ltd,06/03/2024,False,False,False,,Not Verified,
Popular Pulse Products Pvt. Ltd.,09/16/2009,False,False,False,,Not Verified,
Prakash Namkeen Udhyog,10/28/2016,False,False,False,,Not Verified,
Prataap Snacks Pvt.,05/14/2019,False,False,False,,Not Verified,
Pravin Masalewale Partnership,07/18/2014,False,False,False,,Not Verified,
Premji Bhanji & Co.,09/16/2009,False,False,False,,Not Verified,
PureFarms Organic (India),08/28/2020,False,False,False,,Not Verified,
Qik Exports,09/16/2009,False,False,False,,Not Verified,
Quantum Drugs & Chemicals,09/16/2009,False,False,False,,Not Verified,
R.M.TRADING CO.,05/13/2014,False,False,False,,Not Verified,
R.S.LAL INTERNATIONAL,09/16/2009,False,False,False,,Not Verified,
RASA SPICES N FOODS PRIVATE LIMITED,02/11/2011,False,False,False,,Not Verified,
RAVI EXPORTS,04/19/2013,False,False,False,,Not Verified,
Race Seven Seas,09/16/2009,False,False,False,,Not Verified,
Ramdev Food Products Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Ramdev Food Products Pvt. Ltd.,09/16/2009,False,False,False,,Not Verified,
Rasoi Magic,03/01/2021,False,False,False,,Not Verified,
Rasoi Magic Foods (India) Pvt. Ltd.,03/26/2013,False,False,False,,Not Verified,
Ravi Overseas Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Ravi Spice Processors Pvt Ltd.,09/16/2009,False,False,False,,Not Verified,
Roopak Overscas Pvt Ltd,06/22/2016,False,False,False,,Not Verified,
S. Narendra Kumar & Co.,06/17/2015,False,False,False,,Not Verified,
SALOMI INTERNATIONAL,09/16/2009,False,False,False,,Not Verified,
SAMSONS TRADING CO. PVT. LTD.,09/16/2009,False,False,False,,Not Verified,
SGR (777) FOODS PRIVATE LIMITED,09/16/2009,False,False,False,,Not Verified,
SHAH EXPORTS,09/16/2009,False,False,False,,Not Verified,
SWANI SPICE MILLS PVT. LIMITED,09/16/2009,False,False,False,,Not Verified,
Sakthi Masala Private Limited,09/16/2009,False,False,False,,Not Verified,
Sam Enterprises Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Samasta Foods Pvt. Ltd.,10/25/2024,False,False,False,,Not Verified,
Samsons Trading Co,09/16/2009,False,False,False,,Not Verified,
Sara Spices,10/31/2013,False,False,False,,Not Verified,
Satnam Overseas Limited,09/16/2009,False,False,False,,Not Verified,
Satpal Agro Pvt,09/16/2009,False,False,False,,Not Verified,
Sea Wing Exim India (P) Ltd,09/16/2009,False,False,False,,Not Verified,
Shakumbhri Expo Impo Ltd.,12/10/2009,False,False,False,,Not Verified,
Shakumbhri Pulp And Paper Mills,09/16/2009,False,False,False,,Not Verified,
Shiva Enterprises,01/08/2013,False,False,False,,Not Verified,
Shree Bhagwati Flour & Foods PVT. LTD,09/16/2009,False,False,False,,Not Verified,
Shri Hari Industries,01/22/2021,False,False,False,,Not Verified,
Shri Purshotorm Agro Industries,09/16/2009,False,False,False,,Not Verified,
Shrichakra Udyog Private Limited,06/14/2010,False,False,False,,Not Verified,
Shubh Psyllium Industries,05/10/2017,False,False,False,,Not Verified,
Shudh Masala Bhandar (REGD),09/16/2009,False,False,False,,Not Verified,
SinghInt,09/14/2017,False,False,False,,Not Verified,
Siri Guru Ram Dass Rice Co.,09/16/2009,False,False,False,,Not Verified,
Sona Overseas Corporation,06/10/2011,False,False,False,,Not Verified,
Sopariwal,09/16/2009,False,False,False,,Not Verified,
Spice International,09/16/2009,False,False,False,,Not Verified,
Spice N Flavor Private Ltd.,09/16/2009,False,False,False,,Not Verified,
Unknown Street,09/16/2009,False,False,False,,Not Verified,
Sri Mata Bio Source,01/14/2010,False,False,False,,Not Verified,
Sri Varu Impex and Logistics,03/31/2025,False,False,False,,Not Verified,
Suminter India Organics Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Sun Agro Exports Co.,09/16/2009,False,False,False,,Not Verified,
Sunshine Commodities,09/16/2009,False,False,False,,Not Verified,
Swani Enterprises,09/16/2009,False,False,False,,Not Verified,
Synthite Industries Ltd. (Spice Division),12/15/2021,False,False,False,,Not Verified,
Synthite Industries Private (EOU Division) Limited,11/03/2016,False,False,False,,Not Verified,
TAPAN EXPORTS,09/16/2009,False,False,False,,Not Verified,
TASTEL FINE FOODS PRIVATE LIMITED,09/04/2013,False,False,False,,Not Verified,
THE GRAND SWEETS AND SNACKS,05/12/2017,False,False,False,,Not Verified,
TIT-BIT,09/16/2009,False,False,False,,Not Verified,
TRADEIMPEX INTERNATIONAL,07/12/2018,False,False,False,,Not Verified,
TRU VALUE OVERSEAS PVT LTD,09/26/2023,False,False,False,,Not Verified,
Tastel Fine Foods Pvt Ltd,09/04/2013,False,False,False,,Not Verified,
"Tata Tea Limited, Instant Tea Division",09/16/2009,False,False,False,,Not Verified,
Thakar Exports,09/16/2009,False,False,False,,Not Verified,
Tit-Bit Foods (India) Pvt. Ltd.,05/29/2013,False,False,False,,Not Verified,
Trade Wings International,09/16/2009,False,False,False,,Not Verified,
Tru Value Overseas Pvt.,09/26/2023,False,False,False,,Not Verified,
UMALAXMI ORGANICS PVT. LTD.,04/08/2011,False,False,False,,Not Verified,
Unique Fragrances,04/03/2018,False,False,False,,Not Verified,
Unity Commodities,09/16/2009,False,False,False,,Not Verified,
Universal Spices Pprivate Limited,09/16/2009,False,False,False,,Not Verified,
"Ushodaya Enterprises Pvt. Ltd., (Foods Division), Poranki.",06/20/2016,False,False,False,,Not Verified,
Utsav Commodities Pvt. Ltd.,08/30/2018,False,False,False,,Not Verified,
Utsav Commodities Pvt. Ltd.,09/16/2009,False,False,False,,Not Verified,
V & R Commodities,09/16/2009,False,False,False,,Not Verified,
VEERPRABHU EXPORT HOUSE,07/30/2010,False,False,False,,Not Verified,
VIJAY ENTERPRISE,12/15/2016,False,False,False,,Not Verified,
VIRAL FOOD PRODUCTS PRIVATE LIMITED,07/02/2026,False,False,False,,Not Verified,
VIRAL FOOD PRODUCTS PVT. LTD,07/02/2026,False,False,False,,Not Verified,
Varun Exports,09/16/2009,False,False,False,,Not Verified,
Veerprabhu Export House,09/16/2009,False,False,False,,Not Verified,
Vidur Exports,09/16/2009,False,False,False,,Not Verified,
Viral International,09/16/2009,False,False,False,,Not Verified,
Wynad Export,01/24/2020,False,False,False,,Not Verified,
amrutha exports,09/16/2009,False,False,False,,Not Verified,
nilamel exports,06/28/2013,False,False,False,,Not Verified,
spice india exports,09/16/2009,False,False,False,,Not Verified,
