firm_name,date_published
KWIK CHEF FOODS (Unit Patfam Marketing Services),09/16/2009
"Kanaiya Exports Pvt ,Limited",08/03/2015
Karan International Ltd,12/06/2010
Kays Spices And Agro Inds. Ltd.,09/16/2009
Keval Exports Pvt. Ltd,07/16/2026
Kirit Foods Product,09/16/2009
Kohinoor Foods Ltd,03/14/2017
Kohlico Foods & Beverages Pvt Ltd,06/06/2013
"Kohlico Foods & Beverages Pvt.Ltd.,",09/09/2024
Kp Overseas,03/22/2013
Krrishna Export,04/28/2014
Kusum Chandra Damodar & Co,09/16/2009
LAKHMI ENTERPRISES,12/07/2010
LAXMICHAND DAYABHAI EXPORT,06/24/2021
Lakshmi Trading Company,09/16/2009
Lazeez FoodStuffs,09/16/2009
Lokhandwala Exports,09/16/2009
M K Agro Exports,09/16/2009
M. D. Foods,05/15/2015
M.M. Enterprise,09/16/2009
M.M. Poonjiaji Spices Ltd,09/16/2009
M.R. Agro Industries,07/02/2021
M.S. S. ASAN EXPORTS,04/26/2011
M.V.J. Foods (India),09/16/2009
M/S Green Earth Products,09/16/2009
M/S Jhaveri Industries,06/23/2010
M/S KESHAV EXPORTS PVT LTD,09/16/2009
M/S Ravi Spice Processors Pvt Ltd,08/01/2012
M/S. SHAH AMRUTLAL BACHUBHAI & COMPANY,09/16/2009
M/s Dahyabhai Vithaldas,09/16/2009
MAC AGRI EXPORTS,12/02/2010
MADON PURE FOODS PVT LT,08/03/2022
MANJILAS AGRO FOODS PVT.LTD.,10/17/2016
MANJILAS FOOD TECH (P) Ltd,10/17/2016
MANJILAS FOOD TECH PVT LTD,10/17/2016
MATRAS EXPORTERS,07/31/2026
MTR Foods Private Limited,09/16/2009
Madhur Food Products Ltd,09/16/2009
Madon Pure Foods Pvt Ltd,08/03/2022
Mahashian Di Hatti Ltd.,09/16/2009
Mahashian Di Hatti Pvt. Ltd.,07/12/2016
Maiyas Beverages & Foods,06/21/2017
"Curry Powder, without Salt",06/21/2017
Manjilas Food Tech Pvt. Ltd.,10/17/2016
Metco Export International,07/10/2012
Miltop Exports,09/16/2009
NAZARETH FOODS PVT LTD,09/16/2009
NHC Foods Limited,02/16/2011
NIKASU FROZEN FOODS INTERNATIONAL,02/26/2010
NOVUS LIFE SCIENCES LTD,07/01/2026
Nani Agro Foods P Ltd.,09/16/2009
Navjyot International,09/16/2009
Navrang Herbal,12/05/2023
"Nestle India, Pantnagar",06/23/2023
OM EXIM CORPORATION,06/10/2025
OM SHREE INTERNATIONAL,09/16/2009
Obson International Pvt. Ltd.,09/16/2009
Omni Exports,09/16/2009
Orchid Exim India Private Limited,07/01/2025
Organic Products India,01/18/2012
P D INTERNATIONAL,12/20/2024
P. Mittulaul Lalah And Sons,09/16/2009
P.J. Exports,09/16/2009
PARLE BISCUITS PVT. LTD.,08/12/2025
PARUL EXPORTS,05/03/2012
PJ Exports,09/16/2009
PRAVIN MASALEWALE,07/18/2014
PUNAM AGRO FOODS,06/08/2016
Parayil Exports,09/16/2009
Parayil Food Products Pvt. Ltd.,08/14/2010
Parul Exports,08/01/2018
Phalada Agro Research Foundation Pvt. Ltd.,11/03/2016
Pooja Dehy Foods Pvt Ltd,06/03/2024
Popular Pulse Products Pvt. Ltd.,09/16/2009
Prakash Namkeen Udhyog,10/28/2016
Prataap Snacks Pvt.,05/14/2019
Pravin Masalewale Partnership,07/18/2014
Premji Bhanji & Co.,09/16/2009
PureFarms Organic (India),08/28/2020
Qik Exports,09/16/2009
Quantum Drugs & Chemicals,09/16/2009
R.M.TRADING CO.,05/13/2014
R.S.LAL INTERNATIONAL,09/16/2009
RASA SPICES N FOODS PRIVATE LIMITED,02/11/2011
RAVI EXPORTS,04/19/2013
Race Seven Seas,09/16/2009
Ramdev Food Products Pvt Ltd,09/16/2009
Ramdev Food Products Pvt. Ltd.,09/16/2009
Rasoi Magic,03/01/2021
Rasoi Magic Foods (India) Pvt. Ltd.,03/26/2013
Ravi Overseas Pvt Ltd,09/16/2009
Ravi Spice Processors Pvt Ltd.,09/16/2009
Roopak Overscas Pvt Ltd,06/22/2016
S. Narendra Kumar & Co.,06/17/2015
SALOMI INTERNATIONAL,09/16/2009
SAMSONS TRADING CO. PVT. LTD.,09/16/2009
SGR (777) FOODS PRIVATE LIMITED,09/16/2009
SHAH EXPORTS,09/16/2009
SWANI SPICE MILLS PVT. LIMITED,09/16/2009
Sakthi Masala Private Limited,09/16/2009
Sam Enterprises Pvt Ltd,09/16/2009
Samasta Foods Pvt. Ltd.,10/25/2024
Samsons Trading Co,09/16/2009
Sara Spices,10/31/2013
Satnam Overseas Limited,09/16/2009
Satpal Agro Pvt,09/16/2009
Sea Wing Exim India (P) Ltd,09/16/2009
Shakumbhri Expo Impo Ltd.,12/10/2009
Shakumbhri Pulp And Paper Mills,09/16/2009
Shiva Enterprises,01/08/2013
Shree Bhagwati Flour & Foods PVT. LTD,09/16/2009
Shri Hari Industries,01/22/2021
Shri Purshotorm Agro Industries,09/16/2009
Shrichakra Udyog Private Limited,06/14/2010
Shubh Psyllium Industries,05/10/2017
Shudh Masala Bhandar (REGD),09/16/2009
SinghInt,09/14/2017
Siri Guru Ram Dass Rice Co.,09/16/2009
Sona Overseas Corporation,06/10/2011
Sopariwal,09/16/2009
Spice International,09/16/2009
Spice N Flavor Private Ltd.,09/16/2009
Unknown Street,09/16/2009
Sri Mata Bio Source,01/14/2010
Sri Varu Impex and Logistics,03/31/2025
Suminter India Organics Pvt Ltd,09/16/2009
Sun Agro Exports Co.,09/16/2009
Sunshine Commodities,09/16/2009
Swani Enterprises,09/16/2009
Synthite Industries Ltd. (Spice Division),12/15/2021
Synthite Industries Private (EOU Division) Limited,11/03/2016
TAPAN EXPORTS,09/16/2009
TASTEL FINE FOODS PRIVATE LIMITED,09/04/2013
THE GRAND SWEETS AND SNACKS,05/12/2017
TIT-BIT,09/16/2009
TRADEIMPEX INTERNATIONAL,07/12/2018
TRU VALUE OVERSEAS PVT LTD,09/26/2023
Tastel Fine Foods Pvt Ltd,09/04/2013
"Tata Tea Limited, Instant Tea Division",09/16/2009
Thakar Exports,09/16/2009
Tit-Bit Foods (India) Pvt. Ltd.,05/29/2013
Trade Wings International,09/16/2009
Tru Value Overseas Pvt.,09/26/2023
UMALAXMI ORGANICS PVT. LTD.,04/08/2011
Unique Fragrances,04/03/2018
Unity Commodities,09/16/2009
Universal Spices Pprivate Limited,09/16/2009
"Ushodaya Enterprises Pvt. Ltd., (Foods Division), Poranki.",06/20/2016
Utsav Commodities Pvt. Ltd.,08/30/2018
Utsav Commodities Pvt. Ltd.,09/16/2009
V & R Commodities,09/16/2009
VEERPRABHU EXPORT HOUSE,07/30/2010
VIJAY ENTERPRISE,12/15/2016
VIRAL FOOD PRODUCTS PRIVATE LIMITED,07/02/2026
VIRAL FOOD PRODUCTS PVT. LTD,07/02/2026
Varun Exports,09/16/2009
Veerprabhu Export House,09/16/2009
Vidur Exports,09/16/2009
Viral International,09/16/2009
Wynad Export,01/24/2020
amrutha exports,09/16/2009
nilamel exports,06/28/2013
spice india exports,09/16/2009
