doc_id,source_tier,title,assigned_cluster_id,cluster_name,primary_keywords,cluster_description,locus_tag
B-GD-016,GDELT Trade News,Indian spices exporters hit by container inspection and sampling delay amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-017,GDELT Trade News,Indian spices exporters hit by accreditation and laboratory cost inflation amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-018,GDELT Trade News,Indian spices exporters hit by buyer contract cancellation and payment freeze amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-019,GDELT Trade News,Indian marine products exporters hit by portal freeze and DSC error amid strict US FDA and EU DG SANTE scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-020,GDELT Trade News,Indian marine products exporters hit by laboratory testing bottleneck amid strict US FDA and EU DG SANTE scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-021,GDELT Trade News,Indian marine products exporters hit by border rejection and DWPE alert amid strict US FDA and EU DG SANTE scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-022,GDELT Trade News,Indian marine products exporters hit by traceability and geotagging hurdle amid strict US FDA and EU DG SANTE scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-023,GDELT Trade News,Indian marine products exporters hit by audit scrutiny and scrip delay amid strict US FDA and EU DG SANTE scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-024,GDELT Trade News,Indian marine products exporters hit by container inspection and sampling delay amid strict US FDA and EU DG SANTE scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-025,GDELT Trade News,Indian marine products exporters hit by accreditation and laboratory cost inflation amid strict US FDA and EU DG SANTE scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-026,GDELT Trade News,Indian marine products exporters hit by buyer contract cancellation and payment freeze amid strict US FDA and EU DG SANTE scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-027,GDELT Trade News,Indian basmati rice exporters hit by portal freeze and DSC error amid strict European Commission and EFSA scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-028,GDELT Trade News,Indian basmati rice exporters hit by laboratory testing bottleneck amid strict European Commission and EFSA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-029,GDELT Trade News,Indian basmati rice exporters hit by border rejection and DWPE alert amid strict European Commission and EFSA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-030,GDELT Trade News,Indian basmati rice exporters hit by traceability and geotagging hurdle amid strict European Commission and EFSA scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-031,GDELT Trade News,Indian basmati rice exporters hit by audit scrutiny and scrip delay amid strict European Commission and EFSA scrutiny,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
B-GD-032,GDELT Trade News,Indian basmati rice exporters hit by container inspection and sampling delay amid strict European Commission and EFSA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-033,GDELT Trade News,Indian basmati rice exporters hit by accreditation and laboratory cost inflation amid strict European Commission and EFSA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-034,GDELT Trade News,Indian basmati rice exporters hit by buyer contract cancellation and payment freeze amid strict European Commission and EFSA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-035,GDELT Trade News,Indian fresh horticulture exporters hit by portal freeze and DSC error amid strict UK DEFRA and EU Plant Health Authorities scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-036,GDELT Trade News,Indian fresh horticulture exporters hit by laboratory testing bottleneck amid strict UK DEFRA and EU Plant Health Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-037,GDELT Trade News,Indian fresh horticulture exporters hit by border rejection and DWPE alert amid strict UK DEFRA and EU Plant Health Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-038,GDELT Trade News,Indian fresh horticulture exporters hit by traceability and geotagging hurdle amid strict UK DEFRA and EU Plant Health Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-039,GDELT Trade News,Indian fresh horticulture exporters hit by audit scrutiny and scrip delay amid strict UK DEFRA and EU Plant Health Authorities scrutiny,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
B-GD-040,GDELT Trade News,Indian fresh horticulture exporters hit by container inspection and sampling delay amid strict UK DEFRA and EU Plant Health Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-041,GDELT Trade News,Indian fresh horticulture exporters hit by accreditation and laboratory cost inflation amid strict UK DEFRA and EU Plant Health Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-042,GDELT Trade News,Indian fresh horticulture exporters hit by buyer contract cancellation and payment freeze amid strict UK DEFRA and EU Plant Health Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-043,GDELT Trade News,Indian processed organic foods exporters hit by portal freeze and DSC error amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-044,GDELT Trade News,Indian processed organic foods exporters hit by laboratory testing bottleneck amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-045,GDELT Trade News,Indian processed organic foods exporters hit by border rejection and DWPE alert amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-046,GDELT Trade News,Indian processed organic foods exporters hit by traceability and geotagging hurdle amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-047,GDELT Trade News,Indian processed organic foods exporters hit by audit scrutiny and scrip delay amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
B-GD-048,GDELT Trade News,Indian processed organic foods exporters hit by container inspection and sampling delay amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-049,GDELT Trade News,Indian processed organic foods exporters hit by accreditation and laboratory cost inflation amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-050,GDELT Trade News,Indian processed organic foods exporters hit by buyer contract cancellation and payment freeze amid strict US FDA FSMA and EU Organic Competent Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-051,GDELT Trade News,Indian tea and coffee exporters hit by portal freeze and DSC error amid strict German and Dutch Customs Authorities scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-052,GDELT Trade News,Indian tea and coffee exporters hit by laboratory testing bottleneck amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-053,GDELT Trade News,Indian tea and coffee exporters hit by border rejection and DWPE alert amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-054,GDELT Trade News,Indian tea and coffee exporters hit by traceability and geotagging hurdle amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-055,GDELT Trade News,Indian tea and coffee exporters hit by audit scrutiny and scrip delay amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-056,GDELT Trade News,Indian tea and coffee exporters hit by container inspection and sampling delay amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-057,GDELT Trade News,Indian tea and coffee exporters hit by accreditation and laboratory cost inflation amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-058,GDELT Trade News,Indian tea and coffee exporters hit by buyer contract cancellation and payment freeze amid strict German and Dutch Customs Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-059,GDELT Trade News,Indian oilseeds and groundnut exporters hit by portal freeze and DSC error amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-060,GDELT Trade News,Indian oilseeds and groundnut exporters hit by laboratory testing bottleneck amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-061,GDELT Trade News,Indian oilseeds and groundnut exporters hit by border rejection and DWPE alert amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-062,GDELT Trade News,Indian oilseeds and groundnut exporters hit by traceability and geotagging hurdle amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-063,GDELT Trade News,Indian oilseeds and groundnut exporters hit by audit scrutiny and scrip delay amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-064,GDELT Trade News,Indian oilseeds and groundnut exporters hit by container inspection and sampling delay amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-065,GDELT Trade News,Indian oilseeds and groundnut exporters hit by accreditation and laboratory cost inflation amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-066,GDELT Trade News,Indian oilseeds and groundnut exporters hit by buyer contract cancellation and payment freeze amid strict EU RASFF and Vietnamese Biosecurity Ports scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-067,GDELT Trade News,Indian dairy and honey exporters hit by portal freeze and DSC error amid strict US FDA and Middle Eastern Import Authorities scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-068,GDELT Trade News,Indian dairy and honey exporters hit by laboratory testing bottleneck amid strict US FDA and Middle Eastern Import Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-069,GDELT Trade News,Indian dairy and honey exporters hit by border rejection and DWPE alert amid strict US FDA and Middle Eastern Import Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-070,GDELT Trade News,Indian dairy and honey exporters hit by traceability and geotagging hurdle amid strict US FDA and Middle Eastern Import Authorities scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-071,GDELT Trade News,Indian dairy and honey exporters hit by audit scrutiny and scrip delay amid strict US FDA and Middle Eastern Import Authorities scrutiny,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
B-GD-072,GDELT Trade News,Indian dairy and honey exporters hit by container inspection and sampling delay amid strict US FDA and Middle Eastern Import Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-073,GDELT Trade News,Indian dairy and honey exporters hit by accreditation and laboratory cost inflation amid strict US FDA and Middle Eastern Import Authorities scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-074,GDELT Trade News,Indian dairy and honey exporters hit by buyer contract cancellation and payment freeze amid strict US FDA and Middle Eastern Import Authorities scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-075,GDELT Trade News,Indian processed cereals and millet exporters hit by portal freeze and DSC error amid strict Australian Department of Agriculture and US FDA scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-076,GDELT Trade News,Indian processed cereals and millet exporters hit by laboratory testing bottleneck amid strict Australian Department of Agriculture and US FDA scrutiny,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
B-GD-077,GDELT Trade News,Indian processed cereals and millet exporters hit by border rejection and DWPE alert amid strict Australian Department of Agriculture and US FDA scrutiny,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-078,GDELT Trade News,Indian processed cereals and millet exporters hit by traceability and geotagging hurdle amid strict Australian Department of Agriculture and US FDA scrutiny,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-079,GDELT Trade News,Indian processed cereals and millet exporters hit by audit scrutiny and scrip delay amid strict Australian Department of Agriculture and US FDA scrutiny,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
