doc_id,corpus_tier,source_name_instrument_body,title_url_query,retrieval_date_format_language,production_context,dqa_context_score,dqa_content_score,full_text_available,locus_tag,source_topic_tag,verification_logic,deident_status,access_status_notes,firm_mentioned,iec_verification_status,verification_method,verification_date,relevance_to_study,corpus_role,enterprise_scale_tier,scale_evidence,hurdle_scale_coupled,publication_date,dqa_content_notes
A-SPICE-003,A,Spices Board Ministry of Commerce & Industry,https://indianspices.com/indianspices/sites/default/files/Circular%2001.2026.27%20Restuffing%20of%20Consignment%20returned%20due%20to%20West%20Asia%20Crisis.pdf,2026-07-03 / pdf / English,Statutory spices export circular / notice: Circular%2001.2026.27%20Restuffing%20Of%20Consignment%20Returned%20Due%20To%20West%20Asia%20Crisis,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,qel-laboratory-multi-residue-pesticide-screen,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-004,A,Spices Board Ministry of Commerce & Industry,https://indianspices.com/indianspices/sites/default/files/SUBMISSION%20OF%20PENDING%20QER%20-%20CIRCULAR.pdf,2026-07-03 / pdf / English,Statutory spices export circular / notice: Submission%20Of%20Pending%20Qer%20 %20Circular,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,iso-17025-accredited-instrumental-analysis,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-005,A,Spices Board Ministry of Commerce & Industry,https://indianspices.com/indianspices/sites/default/files/Regulation_EU_2026_194.pdf,2026-07-03 / pdf / English,Statutory spices export circular / notice: Regulation_Eu_2026_194,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,mandatory-eto-and-aflatoxin-sampling-scheme,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-006,A,Spices Board Ministry of Commerce & Industry,http://www.indianspices.com/trade/trade-notifications/revision-analytical-charges,2026-07-03 / html / English,"Derived regulatory orientation summary (per Section 6.1): Statutory spices export circular: Circular on Mandatory Testing for Salmonella in Consignments of Chilli, Cumin & Mixed Spices Exported to USA","A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,mandatory-pathogen-absence-testing-in-25g,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-007,A,Spices Board Ministry of Commerce & Industry,https://indianspices.com/sites/default/files/Requirment%20of%20OC-%20Export%20of%20Spices%20070126.pdf,2026-07-03 / html / English,Statutory spices export circular: Circular No: 05/2025-26 - Export of Spices & Spice Products to UK - Requirement of Official Certificate w.e.f. 1st January 2026,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,post-brexit-health-certificate-endorsement,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-008,A,Spices Board Ministry of Commerce & Industry,https://indianspices.com/indianspices/sites/default/files/EU_Cumin_Monitoring_Mechanism_PR.pdf,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory spices export circular: Circular on Export of Cumin to EU - Monitoring Mechanism for Testing of Pesticide Residues (PR),"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,batch-wise-pre-shipment-mrl-verification,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-001,A,MPEDA Marine Products Export Development Authority,https://mpeda.gov.in/exporters/,2026-07-03 / html / English,Statutory marine export governance document: MPEDA Exporters Registration Portal & Statutory Registration Guidelines,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,statutory-mpeda-rcmc-issuance-protocol,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-003,A,MPEDA Marine Products Export Development Authority,https://mpeda.gov.in/wp-content/uploads/2024/09/30-05-24Viglance_0001.pdf,2026-07-03 / pdf / English,Statutory marine export governance document: 30 05 24Viglance_0001,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,unannounced-processing-plant-surveillance,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-004,A,MPEDA Marine Products Export Development Authority,https://mpeda.gov.in/wp-content/uploads/2025/02/Evaluation_Impact_Assessment_Final_Report_05-Oct-2023.pdf,2026-07-03 / pdf / English,Statutory marine export governance document: Evaluation_Impact_Assessment_Final_Report_05 Oct 2023,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,marine-trade-policy-assessment-metrics,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-005,A,MPEDA Marine Products Export Development Authority,https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_new.aspx,2026-07-03 / html / English,Statutory marine export governance document: Rpt_Region_Wise_Exporters_New.Aspx,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,verified-exporter-entity-directory,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-006,A,MPEDA Marine Products Export Development Authority,https://mpeda.gov.in/catch-certificate/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory marine export governance procedure: MPEDA Guidelines & Standard Operating Procedure for Issuance of EU Catch Certificate,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,eu-catch-certificate-online-validation,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-007,A,MPEDA Marine Products Export Development Authority,https://mpeda.gov.in/exporters/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory marine export governance procedure: MPEDA & NOAA DS-2031 Shrimp Exporter Declaration & Turtle Excluder Device (TED) Compliance Procedure,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,ds-2031-and-turtle-excluder-device-ted-audit,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-MPEDA-008,A,MPEDA Marine Products Export Development Authority,https://pht.mpeda.gov.in/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory marine export governance procedure: MPEDA Pre-Harvest Test (PHT) Online Guidelines for Antibiotic Residue Monitoring in Aquaculture Shrimp,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,pht-lc-ms-ms-screening-for-chloramphenicol,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EIC-001,A,Export Inspection Council of India Ministry of Commerce & Industry,https://eicindia.gov.in/Index.aspx,2026-07-03 / html / English,"Derived regulatory orientation summary (per Section 6.1): Statutory export inspection & health certification procedure: Export (Quality Control and Inspection) Act, 1963 - Statutory Powers of EIC and EIAs","A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,export-act-1963-powers-and-penal-sanctions,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EIC-002,A,Export Inspection Council of India Ministry of Commerce & Industry,https://eicindia.gov.in/Marine.aspx,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory export inspection & health certification procedure: EIC Executive Instructions for Issuance of Health Certificates for Marine Products Exported to EU & USA,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,haccp-surveillance-and-inter-departmental-panel,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EIC-003,A,Export Inspection Council of India Ministry of Commerce & Industry,https://eicindia.gov.in/Spices.aspx,2026-07-03 / html / English,"Derived regulatory orientation summary (per Section 6.1): Statutory export inspection & health certification procedure: EIC Mandatory Consignment-Wise Inspection Scheme for Export of Spices (Chilli, Nutmeg, Curry Leaves) to EU","A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,mandatory-sampling-iso948-eto-aflatoxin-mrl,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EIC-004,A,Export Inspection Council of India Ministry of Commerce & Industry,https://eicindia.gov.in/Labs.aspx,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory export inspection & health certification procedure: Laboratory Recognition Scheme & Analytical Testing Protocols of Export Inspection Agencies (EIAs),"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,nabl-iso17025-testing-lc-ms-ms-icp-ms,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EIC-005,A,Export Inspection Council of India Ministry of Commerce & Industry,https://eicindia.gov.in/IPQC.aspx,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory export inspection & health certification procedure: Approved Technologist Scheme & In-Process Quality Control (IPQC) for Food Processing Units,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,approved-technologist-self-certification-audit,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-FSSAI-001,A,FSSAI Food Safety and Standards Authority of India Ministry of Health,https://www.fssai.gov.in/upload/uploadfiles/files/Licensing_Regulations.pdf,2026-07-03 / pdf / English,"Statutory food safety licensing & third-party auditing document: FSSAI Licensing and Registration Regulations, 2011 - Schedule 4 HACCP & Hygiene Requirements","A,A,A,A,A,A","A,A,A,A,A,A",yes,internal-capability,schedule-4-sanitary-hygiene-and-haccp-mandate,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-FSSAI-002,A,FSSAI Food Safety and Standards Authority of India Ministry of Health,https://www.fssai.gov.in/cms/third-party-audit.php,2026-07-03 / html / English,"Derived regulatory orientation summary (per Section 6.1): Statutory food safety licensing & third-party auditing document: Food Safety Auditing Regulations, 2018 - Statutory Recognition of Third-Party Auditing Agencies","A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,gfsi-fssc22000-brcgs-iso17065-recognition,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-FSSAI-003,A,FSSAI Food Safety and Standards Authority of India Ministry of Health,https://foscos.fssai.gov.in/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory food safety licensing & third-party auditing document: FoSCoS Central Licensing Procedures & Compliance Mandates for 100% Export Oriented Units (EOUs),"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,icegate-dgft-exim-licensing-integration,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-FSSAI-004,A,FSSAI Food Safety and Standards Authority of India Ministry of Health,https://www.fssai.gov.in/,2026-07-03 / html / English,"Derived regulatory orientation summary (per Section 6.1): Statutory food safety licensing & third-party auditing document: FSSAI Export Regulatory Cooperation Framework with APEDA, MPEDA, and Export Inspection Council","A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),inductive-other,mutual-recognition-of-apeda-mpeda-eic-testing,facility-and-process,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-FSSAI-005,A,FSSAI Food Safety and Standards Authority of India Ministry of Health,https://www.fssai.gov.in/cms/manuals-of-methods-of-analysis.php,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory food safety licensing & third-party auditing document: FSSAI Manual of Methods of Analysis & Laboratory Recognition Scheme for Processed Food Contaminants,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,referral-lab-validation-for-heavy-metals-pesticides,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EU-001,A,European Commission DG SANTE / EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32019R1793,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory EU import governance regulation (§7.3 tier): Commission Implementing Regulation (EU) 2019/1793 - Temporary Increase of Official Controls on Third Country Imports,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,regulation-2019-1793-20pct-physical-sampling-bcp,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EU-002,A,European Commission DG SANTE / EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008R1005,2026-07-03 / html / English,"Derived regulatory orientation summary (per Section 6.1): Statutory EU import governance regulation (§7.3 tier): Council Regulation (EC) No 1005/2008 - Community System to Prevent, Deter and Eliminate IUU Fishing","A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,regulation-1005-2008-catch-certificate-flag-state,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EU-003,A,European Commission DG SANTE / EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32004R0853,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory EU import governance regulation (§7.3 tier): Regulation (EC) No 853/2004 - Specific Hygiene Rules for Food of Animal Origin (Marine Products Processing),"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,regulation-853-2004-cold-chain-histamine-controls,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EU-004,A,European Commission DG SANTE / EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32021R0405,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory EU import governance regulation (§7.3 tier): Commission Implementing Regulation (EU) 2021/405 - Third Country Lists for Public Health Compliance,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,regulation-2021-405-nrmp-residue-plan-approval,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-EU-005,A,European Commission DG SANTE / EUR-Lex,https://food.ec.europa.eu/safety/rasff_en,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory EU import governance regulation (§7.3 tier): European Commission Rapid Alert System for Food and Feed (RASFF) Standard Operating Procedures,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,border-rejection-notification-and-30-day-cap-audit,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-DGFT-001,A,Directorate General of Foreign Trade (DGFT) / India Trade Portal,https://dgft.gov.in/CP/?opt=ft-policy,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory trade policy & IEC registration document: Foreign Trade Policy (FTP) 2023 - Chapter 2 General Provisions & IEC Registration Mandate,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,pan-linked-digital-iec-verification-and-rcmc,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-DGFT-002,A,Directorate General of Foreign Trade (DGFT) / India Trade Portal,https://coo.dgft.gov.in/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory trade policy & IEC registration document: DGFT Public Notice on Online Issuance of Certificate of Origin (Preferential & Non-Preferential),"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,e-coo-digital-signature-and-value-addition-norms,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-DGFT-003,A,Directorate General of Foreign Trade (DGFT) / India Trade Portal,https://www.indiantradeportal.in/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory trade policy & IEC registration document: India Trade Portal SPS & TBT Compliance Matrix for Export of Spices and Marine Products,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,harmonized-sps-tbt-tariff-mapping-eu-us-japan,catch-legality-aquaculture,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-DGFT-004,A,Directorate General of Foreign Trade (DGFT) / India Trade Portal,https://dgft.gov.in/,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory trade policy & IEC registration document: DGFT Notification on Mandatory Quality Control Orders (QCOs) & Pre-Shipment Export Clearance,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),institutional-voids,icegate-shipping-bill-interception-gateway,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-DGFT-005,A,Directorate General of Foreign Trade (DGFT) / India Trade Portal,https://dgft.gov.in/CP/?opt=rodtep,2026-07-03 / html / English,Derived regulatory orientation summary (per Section 6.1): Statutory trade policy & IEC registration document: RoDTEP Scheme Operational Guidelines & Duty Remission Mechanisms for Food Processors,"A,A,A,A,A,A","A,A,A,A,A,A",derived-summary (Section 6.1),inductive-other,customs-ledger-duty-scrip-post-audit-recovery,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
