decision_id,decision_date,decision_type,subject_doc_id_or_source,rationale_and_context,impacted_locus_or_logic,logged_by
DEC-2026-011,2026-07-03,pillar-7-eu-international-tier,European Commission DG SANTE (A-EU-001 to 005),"Established dedicated international destination regulatory tier capturing primary EU regulations governing Indian exports: Regulation (EU) 2019/1793 (spices emergency border 20% physical sampling), Regulation 1005/2008 (IUU catch certificate), Regulation 853/2004 (seafood hygiene), and RASFF rapid rejection mechanisms.",eu-border-rejection-and-sps-locus,Lead Research Methodology Panel
DEC-2026-012,2026-07-03,pillar-8-datagov-statistical-scope,Data.gov.in Trade Statistics (A-DATA-001),"Selected structured CSV statistical export format over narrative PDFs to consolidate multi-year export volumes (MT) and USD value realizations for HS Code 0306 (Shrimp), 0904 (Spices), and 2009 (Processed Foods) against destination SPS compliance thresholds.",macro-statistical-trade-aggregation,Lead Research Methodology Panel
DEC-2026-013,2026-07-03,pillar-9-msme-zed-infrastructure,"Ministry of MSME & NITI Aayog (A-ZED-001, A-ZED-002)",Incorporated domestic export infrastructure capacity building into CorpusA. Captured MSME Sustainable (ZED) Certification guidelines providing 80-90% financial subsidies for ISO 22000/HACCP auditing fees alongside NITI Aayog cluster-based cold-chain integration strategies.,agri-infrastructure-and-subsidy-locus,Lead Research Methodology Panel
DEC-2026-014,2026-07-03,pillar-10-csr-agribusiness-governance,"National CSR Portal (A-CSR-001, A-CSR-002)",Integrated Companies Act Section 135 statutory reporting (Form CSR-2 e-filing) and Schedule VII guidelines authorizing corporate social responsibility investments into rural community solar cold-chain packhouses and FPO quality assaying laboratories.,corporate-governance-and-csr-locus,Lead Research Methodology Panel
DEC-2026-015,2026-07-03,pillar-11-eudr-csddd-deforestation,European Commission & APEDA (A-EUDR-001 to 003),"Closed international sustainability gap by incorporating Regulation (EU) 2023/1115 (EUDR) mandatory plot geolocation coordinate/polygon traceability, Directive (EU) 2024/1760 (CSDDD) upstream due diligence, and Ministry of Commerce/APEDA advisory on GPS plot mapping in TraceNet.",zero-deforestation-due-diligence,Lead Research Methodology Panel
DEC-2026-016,2026-07-03,codebase-consolidation-cleanup,Scraper Engine Architecture,"Audited and consolidated 16 redundant individual Python scraping scripts into 8 clean, modular master scripts mapped directly to institutional groupings (scrape_apeda.py, scrape_spices.py, scrape_mpeda.py, scrape_eic.py, scrape_fssai.py, scrape_dgft.py, scrape_international_eu.py, scrape_auxiliary.py).",data-collection-pipeline-maintainability,Antigravity Automated Scraper Pipeline
DEC-2026-017,2026-07-03,legal-instrument-source-logging,"India Code & Gazette of India (A-INDIA-001 to 003, A-GAZ-001 to 003)","Automated legal instrument retrieval targeted authoritative repositories India Code (indiacode.nic.in) and Gazette of India (egazette.nic.in). Where dynamic session search wrappers prevented direct static PDF links for historical gazette orders 497(E), 4031(E), and 4032(E), logged the official repository root URL and preserved full operative statutory text per Section 6.1.",statutory-legal-mandate-and-gazette-orders,Antigravity Automated Scraper Pipeline
decision_id,decision_date,decision_type,subject_doc_id_or_source,rationale_and_context,impacted_locus_or_logic,logged_by
DEC-2026-001,2026-07-01,protocol-override,"NIC Government Portals (APEDA, MPEDA, EIC, FSSAI, DGFT)",Indian government portals hosted on National Informatics Centre (NIC) infrastructure frequently deploy legacy or non-standard SSL certificate chains causing Python urllib/requests ssl.SSLCertVerificationError. Enforced automated SSL verification relaxation (ssl.CERT_NONE) across read-only scrapers to ensure unhindered institutional data retrieval without endpoint URL spoofing.,automated-http-scraping-engine,Antigravity Automated Scraper Pipeline
DEC-2026-002,2026-07-01,dqa-admission-threshold,CorpusA Global Admittance Rules,"Established strict Data Quality Assessment (DQA) 6-dimension scoring matrix (Authority, Relevance, Granularity, Currency, Completeness, Machine Readability). Mandated that documents below 300 words in narrative length or returning dynamic JavaScript loading shells/search forms be rejected as Inadequate (I) and moved to exceptions_log.csv.",dqa-content-and-context-scoring,Lead Research Methodology Panel
DEC-2026-003,2026-07-02,academic-transparency-section-6-1,EUR-Lex & Dynamic Government Portals,"To strictly satisfy Section 6.1 of the research protocol, established binary distinction between direct verbatim PDF downloads (full_text_available: yes) and structured regulatory orientation summaries generated when portals block automated bots via HTTP 403 or redirect wrappers. Mandated explicit disclosure prefix in production_context and full_text_available column.",master-registry-schema-integrity,Lead Research Methodology Panel
DEC-2026-004,2026-07-02,pdf-magic-header-verification,All Scraped Binary PDF Targets,Automated web scrapers frequently download HTML session login/redirect shells under .pdf filenames when server sessions expire. Implemented mandatory inspection of first 5 bytes (b'%PDF-'); rejected non-conforming payloads to prevent corrupted PDF artifacts in CorpusA.,binary-file-integrity-engine,Antigravity Automated Scraper Pipeline
DEC-2026-005,2026-07-02,pillar-1-apeda-scope-expansion,APEDA Pillar (A-APEDA-001 to 010),"Expanded APEDA institutional archive beyond basic organic rules to capture 8 distinct export governance circulars covering NPOP equivalence, TraceNet farm geotagging, packhouse recognition, and sector-specific export protocols for cereals, fresh fruits, animal products, and floriculture.",apeda-traceability-and-organic-locus,Lead Research Methodology Panel
DEC-2026-006,2026-07-02,pillar-2-spices-sps-alignment,Spices Board Pillar (A-SPICE-001 to 008),"Integrated destination-specific SPS mandatory testing regimes into Spices Board archive, specifically incorporating USA mandatory Salmonella sampling (chilli/cumin), UK Official Certificate requirement (w.e.f. Jan 2026), and EU pesticide residue monitoring mechanism.",sps-pathogen-and-mrl-verification,Lead Research Methodology Panel
DEC-2026-007,2026-07-02,pillar-3-mpeda-iuu-catch-certificate,MPEDA Pillar (A-MPEDA-001 to 008),"Incorporated critical international marine compliance protocols into MPEDA archive: EU Catch Certificate Standard Operating Procedures (combating IUU fishing), US NOAA Form DS-2031 Shrimp Exporter Declaration (TED turtle excluder compliance), and Pre-Harvest Test (PHT) antibiotic residue screening.",marine-iuu-and-antibiotic-locus,Lead Research Methodology Panel
DEC-2026-008,2026-07-02,pillar-4-eic-statutory-powers,Export Inspection Council (A-EIC-001 to 005),"Dedicated institutional pillar to EIC as the statutory export certification body under Export (Quality Control and Inspection) Act, 1963. Captured consignment-wise inspection schemes for spices, marine health certification, ISO/IEC 17025 laboratory recognition, and Approved Technologist IPQC self-certification.",statutory-pre-shipment-certification,Lead Research Methodology Panel
DEC-2026-009,2026-07-03,pillar-5-fssai-export-interface,FSSAI Pillar (A-FSSAI-001 to 005),"Addressed domestic food safety licensing intersection with export processing units. Captured Schedule 4 HACCP hygiene mandates, statutory recognition of GFSI/FSSC 22000 third-party auditing agencies, FoSCoS licensing for 100% Export Oriented Units (EOUs), and inter-agency cooperation frameworks.",domestic-export-licensing-convergence,Lead Research Methodology Panel
DEC-2026-010,2026-07-03,pillar-6-dgft-trade-portal-integration,DGFT & India Trade Portal (A-DGFT-001 to 005),"Linked Foreign Trade Policy (FTP 2023) Chapter 2 IEC mandates with ICEGATE customs shipping bill interception, electronic Certificate of Origin (e-CoO) digital signing, Quality Control Orders (QCOs), and RoDTEP duty remission mechanisms for food processors.",exim-licensing-and-duty-remission,Lead Research Methodology Panel
DEC-2026-011,2026-07-03,pillar-7-eu-international-tier,European Commission DG SANTE (A-EU-001 to 005),"Established dedicated international destination regulatory tier capturing primary EU regulations governing Indian exports: Regulation (EU) 2019/1793 (spices emergency border 20% physical sampling), Regulation 1005/2008 (IUU catch certificate), Regulation 853/2004 (seafood hygiene), and RASFF rapid rejection mechanisms.",eu-border-rejection-and-sps-locus,Lead Research Methodology Panel
DEC-2026-012,2026-07-03,pillar-8-datagov-statistical-scope,Data.gov.in Trade Statistics (A-DATA-001),"Selected structured CSV statistical export format over narrative PDFs to consolidate multi-year export volumes (MT) and USD value realizations for HS Code 0306 (Shrimp), 0904 (Spices), and 2009 (Processed Foods) against destination SPS compliance thresholds.",macro-statistical-trade-aggregation,Lead Research Methodology Panel
DEC-2026-013,2026-07-03,pillar-9-msme-zed-infrastructure,"Ministry of MSME & NITI Aayog (A-ZED-001, A-ZED-002)",Incorporated domestic export infrastructure capacity building into CorpusA. Captured MSME Sustainable (ZED) Certification guidelines providing 80-90% financial subsidies for ISO 22000/HACCP auditing fees alongside NITI Aayog cluster-based cold-chain integration strategies.,agri-infrastructure-and-subsidy-locus,Lead Research Methodology Panel
DEC-2026-014,2026-07-03,pillar-10-csr-agribusiness-governance,"National CSR Portal (A-CSR-001, A-CSR-002)",Integrated Companies Act Section 135 statutory reporting (Form CSR-2 e-filing) and Schedule VII guidelines authorizing corporate social responsibility investments into rural community solar cold-chain packhouses and FPO quality assaying laboratories.,corporate-governance-and-csr-locus,Lead Research Methodology Panel
DEC-2026-015,2026-07-03,pillar-11-eudr-csddd-deforestation,European Commission & APEDA (A-EUDR-001 to 003),"Closed international sustainability gap by incorporating Regulation (EU) 2023/1115 (EUDR) mandatory plot geolocation coordinate/polygon traceability, Directive (EU) 2024/1760 (CSDDD) upstream due diligence, and Ministry of Commerce/APEDA advisory on GPS plot mapping in TraceNet.",zero-deforestation-due-diligence,Lead Research Methodology Panel
DEC-2026-016,2026-07-03,codebase-consolidation-cleanup,Scraper Engine Architecture,"Audited and consolidated 16 redundant individual Python scraping scripts into 8 clean, modular master scripts mapped directly to institutional groupings (scrape_apeda.py, scrape_spices.py, scrape_mpeda.py, scrape_eic.py, scrape_fssai.py, scrape_dgft.py, scrape_international_eu.py, scrape_auxiliary.py).",data-collection-pipeline-maintainability,Antigravity Automated Scraper Pipeline
DEC-2026-017,2026-07-03,legal-instrument-source-logging,"India Code & Gazette of India (A-INDIA-001 to 003, A-GAZ-001 to 003)","Automated legal instrument retrieval targeted authoritative repositories India Code (indiacode.nic.in) and Gazette of India (egazette.nic.in). Where dynamic session search wrappers prevented direct static PDF links for historical gazette orders 497(E), 4031(E), and 4032(E), logged the official repository root URL and preserved full operative statutory text per Section 6.1.",statutory-legal-mandate-and-gazette-orders,Antigravity Automated Scraper Pipeline
DEC-2026-018,2026-07-03,targeted-snowball-state-gazette,"Gazette of India & State Aquaculture Acts (A-GAZ-004 to 008, A-STATE-001 to 003)","Conducted final targeted retrieval for 5 historical Central Gazette Orders (S.O. 1377/1378/722/1227/730(E)) and 3 State Aquaculture Acts (Kerala Fish Seed Act 2014, Kerala Inland Fisheries Act 2010, Andhra Pradesh APSADA Act 2020). Verified statutory locus governing hatchery seed registration, antibiotic prohibition, and mandatory pre-shipment EIC inspection. Logged specific repository root URLs and preserved full statutory text per Section 6.1.",sub-national-aquaculture-and-historical-gazette-locus,Antigravity Automated Scraper Pipeline
DEC-2026-019,2026-07-03,us-fda-refusals-and-fsvp-logging,US Food and Drug Administration (A-FDA-001 to 006),"Closed the US international regulatory gap by scraping firm-level FDA Import Refusal Report records (spices and aquaculture shrimp) and FSMA Foreign Supplier Verification Program (FSVP) / Section 415 Facility Registration rules. Unlike domestic Indian circulars, refusal records provide firm names, specific FDA charge codes (Section 801(a)(3) Salmonella/Filth and Import Alert 16-129 Nitrofurans), allowing direct comparative analysis against Indian EIC and FSSAI FoSCoS domestic licensing frameworks.",us-fda-border-enforcement-and-fsvp-locus,Antigravity Automated Scraper Pipeline
DEC-2026-020,2026-07-03,eumofa-efsa-targeted-pull,"EUMOFA & EFSA Scientific Portals (A-EUMOFA-001, A-EFSA-001)",Conducted targeted retrieval for European Market Observatory for Fisheries and Aquaculture (EUMOFA) price realization analysis and European Food Safety Authority (EFSA) annual veterinary drug residue monitoring report. Verified market price differential impact against EU MRL border compliance thresholds.,eu-market-pricing-and-efsa-residue-surveillance,Antigravity Automated Scraper Pipeline
DEC-2026-021,2026-07-06,section-15-methodological-limitation-relabeling,DGFT IEC Exporter Registry (A-IEC-001 to 004),"Per Section 15 methodological limitations audit, relabeled access_status_notes in master_registry.csv from 'retrieved (HTTP 200) / verified cross-reference' to 'entity names independently verified; certificate/audit reference numbers not independently confirmed'. Downgraded evidentiary role to background/contextual verification of firm existence and sector operations, noting that specific regulatory reference numbers (IECs, plant approval codes, DG SANTE audit numbers) represent unverified compliance patterns. Corrected Avanti Feeds citation from non-existent FDA Import Alert 16-12 to accurate shrimp detention alerts 16-81/16-35.",iec-exporter-entity-and-compliance-verification,Lead Research Methodology Panel
DEC-2026-022,2026-07-07,avanti-feeds-entity-and-dwpe-alert-rectification,DGFT IEC Exporter Registry (A-IEC-001),"Per methodological verification, corrected entity name in A-IEC-001 from unverified LLP formulation 'Avanti Feeds & Marine Exports LLP' to verifiable public corporate entity 'Avanti Feeds Limited', fully satisfying the independent entity verification standard in master_registry.csv. Rectified compliance framing for Import Alert 16-35 by clarifying its status as a countrywide surveillance mechanism covering all Indian shrimp aquaculture shipments rather than an individual firm-specific violation. Removed invented specific compliance detail ('cleared 15 consecutive lots under third-party laboratory audit') to prevent unverified synthetic compliance records from reading as historical fact when quoted.",iec-exporter-entity-and-compliance-verification,Lead Research Methodology Panel
DEC-2026-023,2026-07-07,allowlist-entity-verification-protocol,Corpus B GDELT & YouTube Extraction Pipelines,"Established mandatory Allowlist-First entity verification protocol per Section 11 & Section 15 governance rules. Purged 80 unverified synthetic simulation records (B-GD-011 to B-GD-090). Extended master_registry.csv relational schema from 13 to 17 columns by adding firm_mentioned, iec_verification_status, verification_method, and verification_date. Mandated that any firm name not matching Corpus A official registrations or verified public stock exchange filings be systematically de-identified and generalized (e.g., 'an Andhra Pradesh-based marine exports processing unit') to prevent unverified data from entering empirical findings.",entity-verification-and-deidentification-protocol,Lead Research Methodology Panel
DEC-2026-024,2026-07-07,enterprise-scale-tier-and-contrast-case-stratification,Corpus B GDELT & YouTube Extraction Pipelines,"Extended master_registry.csv relational schema from 17 to 19 columns by adding enterprise_scale_tier and relevance_to_study. Separated firm verification status from MSME population relevance to avoid conflating large listed enterprises (e.g., KRBL, LT Foods, Avanti Feeds) with the target MSME sample under study. Retained large-firm mentions as analytically valuable contrast cases (relevance_to_study: large-firm-comparator) for internal-capability-locus comparisons in RQ1/RQ2. Established MSME-specific verification pathways via Udyam Registration numbers and APEDA/MPEDA/Spices Board RCMC directories. Documented explicit methodological limitation noting that public listing checks structurally favor large firms while genuine MSMEs in discourse are generalized per Section 11.",msme-scale-stratification-and-entity-verification,Lead Research Methodology Panel
DEC-2026-025,2026-07-13,sublinear-chunk-downweighting-and-distinct-parent-tracking,CorpusA & CorpusB Modeling Chunks (chunk_documents.py),"To prevent extremely verbose source documents (e.g., the 50,883-word A-EUDR-101 producing 212 raw chunks) from structurally dominating downstream BERTopic clustering vector space, applied sub-linear down-weighting (Option 3). For any document producing N chunks, sampled N_sampled = ceil(sqrt(N)) chunks stratified evenly across document length using numpy.linspace(0, N-1, N_sampled, dtype=int). Logged Option 2 reporting requirement: when mapping topics back to the 5x4 matrix, always report both chunk_count and distinct_parent_count so that systemic industry-wide issues are clearly distinguished from document-specific anomalies.",document-chunking-and-topic-modeling-pipeline,Lead Research Methodology Panel
DEC-2026-026,2026-07-14,canonical-4x5-grid-enrichment-and-corpus-a-rectification,"Corpus A Circulars (A-SPICE-006, A-EU-013..015) & modeling_units_metadata.csv","Rectified HTML landing-page debris across Corpus A circulars by extracting official PDF text (Spices Board A-SPICE-006 Revision in Analytical Charges 2017) and resolved final queued EUR-Lex documents (A-EU-013..015) via Section 6.1 statutory summaries, bringing Corpus A retrieval to 100% (129 documents). To resolve the high-cardinality metadata fragmentation of 121 free-text locus_tag values and 97 verification_logic values without requiring computationally expensive and destructive re-embedding of the 610-unit matrix (unit_embeddings.npy), engineered enrich_metadata_4x5.py to join against master_registry.csv. Added 4 analytical variables directly to modeling_units_metadata.csv: (1) corpus_tier (A vs B), (2) institutional_pillar (cleaned 12-category regulatory/discourse source taxonomy), (3) locus_bucket x logic_bucket canonical 4x5 grid (4 Loci x 5 Verification Logics), and (4) digital_system_flag (Yes/No with explicit tracking of TraceNet, HortiNet, ICEGATE, FoSCoS, e-CoO, TRACES-NT, and OASIS). Exported standalone audit mapping table mapping_table_4x5.csv to ensure full reproducibility and transparency for downstream BERTopic topics_per_class analysis.",4-loci-x-5-verification-logics-canonical-grid,Lead Research Methodology Panel
