chunk_id,parent_doc_id,corpus_tier,page_range,word_range,word_count,chunk_path,parent_dqa_score,parent_locus_tag,parent_verification_logic
A-APEDA-002-C02,A-APEDA-002,A,N/A (Web Scraped / Text Extract),251 - 591,341,CorpusA_Chunks\A-APEDA-002\A-APEDA-002-C02.txt,"A,A,A,A,A,A",value-added-export-guidelines,plant-hygiene-and-haccp-compliance
A-APEDA-005-C01,A-APEDA-005,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-005\A-APEDA-005-C01.txt,"A,A,A,A,A,A",organic-export-governance,npop-equivalence-and-coi-validation
A-APEDA-005-C02,A-APEDA-005,A,N/A (Web Scraped / Text Extract),251 - 580,330,CorpusA_Chunks\A-APEDA-005\A-APEDA-005-C02.txt,"A,A,A,A,A,A",organic-export-governance,npop-equivalence-and-coi-validation
A-APEDA-007-C01,A-APEDA-007,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-007\A-APEDA-007-C01.txt,"A,A,A,A,A,A",cereals-export-protocol,phytosanitary-and-pesticide-mrl-screening
A-APEDA-007-C04,A-APEDA-007,A,N/A (Web Scraped / Text Extract),751 - 1140,390,CorpusA_Chunks\A-APEDA-007\A-APEDA-007-C04.txt,"A,A,A,A,A,A",cereals-export-protocol,phytosanitary-and-pesticide-mrl-screening
A-APEDA-008-C01,A-APEDA-008,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-008\A-APEDA-008-C01.txt,"A,A,A,A,A,A",fresh-produce-hortinet,packhouse-recognition-and-orchard-registration
A-APEDA-008-C04,A-APEDA-008,A,N/A (Web Scraped / Text Extract),751 - 1134,384,CorpusA_Chunks\A-APEDA-008\A-APEDA-008-C04.txt,"A,A,A,A,A,A",fresh-produce-hortinet,packhouse-recognition-and-orchard-registration
A-APEDA-009-C01,A-APEDA-009,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-009\A-APEDA-009-C01.txt,"A,A,A,A,A,A",animal-products-governance,abattoir-haccp-and-ante-mortem-inspection
A-APEDA-009-C03,A-APEDA-009,A,N/A (Web Scraped / Text Extract),501 - 707,207,CorpusA_Chunks\A-APEDA-009\A-APEDA-009-C03.txt,"A,A,A,A,A,A",animal-products-governance,abattoir-haccp-and-ante-mortem-inspection
A-APEDA-010-C01,A-APEDA-010,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-010\A-APEDA-010-C01.txt,"A,A,A,A,A,A",floriculture-seeds-protocol,cold-chain-maintenance-and-quarantine-clearance
A-APEDA-010-C02,A-APEDA-010,A,N/A (Web Scraped / Text Extract),251 - 468,218,CorpusA_Chunks\A-APEDA-010\A-APEDA-010-C02.txt,"A,A,A,A,A,A",floriculture-seeds-protocol,cold-chain-maintenance-and-quarantine-clearance
A-FSSAI-001-C01,A-FSSAI-001,A,Page 1,1 - 250,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C01.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C12,A-FSSAI-001,A,Page 5,2906 - 3155,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C12.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C24,A-FSSAI-001,A,Page 13 to Page 14,6087 - 6336,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C24.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C35,A-FSSAI-001,A,Page 23,9107 - 9356,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C35.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C47,A-FSSAI-001,A,Page 27 to Page 28,12252 - 12501,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C47.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C58,A-FSSAI-001,A,Page 32,15277 - 15526,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C58.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C70,A-FSSAI-001,A,Page 36,18423 - 18672,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C70.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C81,A-FSSAI-001,A,Page 40,21340 - 21589,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C81.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C93,A-FSSAI-001,A,Page 44 to Page 45,24642 - 24891,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C93.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C104,A-FSSAI-001,A,Page 48,27512 - 27761,250,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C104.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-FSSAI-001-C116,A-FSSAI-001,A,Page 54,30665 - 31042,378,CorpusA_Chunks\A-FSSAI-001\A-FSSAI-001-C116.txt,"A,A,A,A,A,A",domestic-manufacturing-licensing,schedule-4-sanitary-hygiene-and-haccp-mandate
A-IEC-001-C01,A-IEC-001,A,N/A (Web Scraped / Text Extract),1 - 300,300,CorpusA_Chunks\A-IEC-001\A-IEC-001-C01.txt,"A,A,A,A,A,A",iec-marine-eu-us-exporters,iec-cross-reference-sante-oasis-marine
A-IEC-001-C02,A-IEC-001,A,N/A (Web Scraped / Text Extract),301 - 484,184,CorpusA_Chunks\A-IEC-001\A-IEC-001-C02.txt,"A,A,A,A,A,A",iec-marine-eu-us-exporters,iec-cross-reference-sante-oasis-marine
A-IEC-002-C01,A-IEC-002,A,N/A (Web Scraped / Text Extract),1 - 289,289,CorpusA_Chunks\A-IEC-002\A-IEC-002-C01.txt,"A,A,A,A,A,A",iec-spices-us-eu-exporters,iec-cross-reference-oasis-rasff-spices
A-IEC-002-C02,A-IEC-002,A,N/A (Web Scraped / Text Extract),290 - 471,182,CorpusA_Chunks\A-IEC-002\A-IEC-002-C02.txt,"A,A,A,A,A,A",iec-spices-us-eu-exporters,iec-cross-reference-oasis-rasff-spices
A-IEC-003-C01,A-IEC-003,A,N/A (Web Scraped / Text Extract),1 - 280,280,CorpusA_Chunks\A-IEC-003\A-IEC-003-C01.txt,"A,A,A,A,A,A",iec-rice-processed-eu-us-exporters,iec-cross-reference-tracenet-fsma-rice
A-IEC-003-C02,A-IEC-003,A,N/A (Web Scraped / Text Extract),281 - 466,186,CorpusA_Chunks\A-IEC-003\A-IEC-003-C02.txt,"A,A,A,A,A,A",iec-rice-processed-eu-us-exporters,iec-cross-reference-tracenet-fsma-rice
A-IEC-004-C01,A-IEC-004,A,N/A (Web Scraped / Text Extract),1 - 280,280,CorpusA_Chunks\A-IEC-004\A-IEC-004-C01.txt,"A,A,A,A,A,A",iec-horticulture-eu-us-exporters,iec-cross-reference-hortinet-eudr-produce
A-IEC-004-C02,A-IEC-004,A,N/A (Web Scraped / Text Extract),281 - 471,191,CorpusA_Chunks\A-IEC-004\A-IEC-004-C02.txt,"A,A,A,A,A,A",iec-horticulture-eu-us-exporters,iec-cross-reference-hortinet-eudr-produce
A-MPEDA-001-C01,A-MPEDA-001,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-MPEDA-001\A-MPEDA-001-C01.txt,"A,A,A,A,A,A",exporters-registration-portal,statutory-mpeda-rcmc-issuance-protocol
A-MPEDA-001-C02,A-MPEDA-001,A,N/A (Web Scraped / Text Extract),251 - 494,244,CorpusA_Chunks\A-MPEDA-001\A-MPEDA-001-C02.txt,"A,A,A,A,A,A",exporters-registration-portal,statutory-mpeda-rcmc-issuance-protocol
A-MPEDA-003-C01,A-MPEDA-003,A,Page 1,1 - 305,305,CorpusA_Chunks\A-MPEDA-003\A-MPEDA-003-C01.txt,"A,A,A,A,A,A",regulatory-vigilance-protocol,unannounced-processing-plant-surveillance
A-MPEDA-003-C02,A-MPEDA-003,A,Page 2,306 - 424,119,CorpusA_Chunks\A-MPEDA-003\A-MPEDA-003-C02.txt,"A,A,A,A,A,A",regulatory-vigilance-protocol,unannounced-processing-plant-surveillance
A-MPEDA-004-C01,A-MPEDA-004,A,Page 1 to Page 3,1 - 320,320,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C01.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C11,A-MPEDA-004,A,Page 15,3078 - 3377,300,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C11.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C21,A-MPEDA-004,A,Page 23 to Page 24,5885 - 6134,250,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C21.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C32,A-MPEDA-004,A,Page 36 to Page 38,8961 - 9215,255,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C32.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C42,A-MPEDA-004,A,Page 49 to Page 50,12017 - 12266,250,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C42.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C52,A-MPEDA-004,A,Page 60 to Page 61,15098 - 15367,270,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C52.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C63,A-MPEDA-004,A,Page 76 to Page 77,18062 - 18439,378,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C63.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C73,A-MPEDA-004,A,Page 90 to Page 91,20815 - 21064,250,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C73.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C83,A-MPEDA-004,A,Page 100 to Page 101,23375 - 23624,250,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C83.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-MPEDA-004-C94,A-MPEDA-004,A,Page 112,26363 - 26608,246,CorpusA_Chunks\A-MPEDA-004\A-MPEDA-004-C94.txt,"A,A,A,A,A,A",export-impact-evaluation,marine-trade-policy-assessment-metrics
A-SPICE-001-C01,A-SPICE-001,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-SPICE-001\A-SPICE-001-C01.txt,"A,A,A,A,A,A",digital-export-services,ess-online-certificate-and-sampling-request
A-SPICE-001-C03,A-SPICE-001,A,N/A (Web Scraped / Text Extract),501 - 750,250,CorpusA_Chunks\A-SPICE-001\A-SPICE-001-C03.txt,"A,A,A,A,A,A",digital-export-services,ess-online-certificate-and-sampling-request
A-SPICE-001-C06,A-SPICE-001,A,N/A (Web Scraped / Text Extract),1359 - 1606,248,CorpusA_Chunks\A-SPICE-001\A-SPICE-001-C06.txt,"A,A,A,A,A,A",digital-export-services,ess-online-certificate-and-sampling-request
A-SPICE-002-C01,A-SPICE-002,A,Page 1,1 - 340,340,CorpusA_Chunks\A-SPICE-002\A-SPICE-002-C01.txt,"A,A,A,A,A,A",exporter-registration-rcmc,statutory-spices-board-licensing-verification
A-SPICE-002-C03,A-SPICE-002,A,Page 3,694 - 874,181,CorpusA_Chunks\A-SPICE-002\A-SPICE-002-C03.txt,"A,A,A,A,A,A",exporter-registration-rcmc,statutory-spices-board-licensing-verification
A-SPICE-003-C01,A-SPICE-003,A,Page 1,1 - 395,395,CorpusA_Chunks\A-SPICE-003\A-SPICE-003-C01.txt,"A,A,A,A,A,A",analytical-testing-matrix,qel-laboratory-multi-residue-pesticide-screen
A-SPICE-003-C02,A-SPICE-003,A,Page 2,396 - 608,213,CorpusA_Chunks\A-SPICE-003\A-SPICE-003-C02.txt,"A,A,A,A,A,A",analytical-testing-matrix,qel-laboratory-multi-residue-pesticide-screen
A-SPICE-004-C01,A-SPICE-004,A,Page 1,1 - 347,347,CorpusA_Chunks\A-SPICE-004\A-SPICE-004-C01.txt,"A,A,A,A,A,A",quality-evaluation-labs,iso-17025-accredited-instrumental-analysis
A-SPICE-004-C04,A-SPICE-004,A,Page 4,964 - 1127,164,CorpusA_Chunks\A-SPICE-004\A-SPICE-004-C04.txt,"A,A,A,A,A,A",quality-evaluation-labs,iso-17025-accredited-instrumental-analysis
A-SPICE-005-C01,A-SPICE-005,A,Page 2,1 - 250,250,CorpusA_Chunks\A-SPICE-005\A-SPICE-005-C01.txt,"A,A,A,A,A,A",eu-spices-export-protocol,mandatory-eto-and-aflatoxin-sampling-scheme
A-SPICE-005-C07,A-SPICE-005,A,Page 4,1670 - 1919,250,CorpusA_Chunks\A-SPICE-005\A-SPICE-005-C07.txt,"A,A,A,A,A,A",eu-spices-export-protocol,mandatory-eto-and-aflatoxin-sampling-scheme
A-SPICE-005-C14,A-SPICE-005,A,Page 7,3651 - 3905,255,CorpusA_Chunks\A-SPICE-005\A-SPICE-005-C14.txt,"A,A,A,A,A,A",eu-spices-export-protocol,mandatory-eto-and-aflatoxin-sampling-scheme
A-SPICE-005-C21,A-SPICE-005,A,Page 14,5526 - 5829,304,CorpusA_Chunks\A-SPICE-005\A-SPICE-005-C21.txt,"A,A,A,A,A,A",eu-spices-export-protocol,mandatory-eto-and-aflatoxin-sampling-scheme
A-SPICE-005-C28,A-SPICE-005,A,Page 20,7479 - 7732,254,CorpusA_Chunks\A-SPICE-005\A-SPICE-005-C28.txt,"A,A,A,A,A,A",eu-spices-export-protocol,mandatory-eto-and-aflatoxin-sampling-scheme
A-SPICE-005-C35,A-SPICE-005,A,Page 25 to Page 26,9235 - 9563,329,CorpusA_Chunks\A-SPICE-005\A-SPICE-005-C35.txt,"A,A,A,A,A,A",eu-spices-export-protocol,mandatory-eto-and-aflatoxin-sampling-scheme
A-SPICE-006-C01,A-SPICE-006,A,Page 1,1 - 289,289,CorpusA_Chunks\A-SPICE-006\A-SPICE-006-C01.txt,"A,A,A,A,A,A",usa-salmonella-testing,mandatory-pathogen-absence-testing-in-25g
A-SPICE-006-C03,A-SPICE-006,A,Page 3,579 - 862,284,CorpusA_Chunks\A-SPICE-006\A-SPICE-006-C03.txt,"A,A,A,A,A,A",usa-salmonella-testing,mandatory-pathogen-absence-testing-in-25g
A-SPICE-006-C05,A-SPICE-006,A,Page 5,1113 - 1383,271,CorpusA_Chunks\A-SPICE-006\A-SPICE-006-C05.txt,"A,A,A,A,A,A",usa-salmonella-testing,mandatory-pathogen-absence-testing-in-25g
B-GD-001-C01,B-GD-001,B,N/A (Web Scraped / Text Extract),1 - 298,298,CorpusB_Chunks\B-GD-001\B-GD-001-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-001-C03,B-GD-001,B,N/A (Web Scraped / Text Extract),558 - 665,108,CorpusB_Chunks\B-GD-001\B-GD-001-C03.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-002-C01,B-GD-002,B,N/A (Web Scraped / Text Extract),1 - 264,264,CorpusB_Chunks\B-GD-002\B-GD-002-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-002-C02,B-GD-002,B,N/A (Web Scraped / Text Extract),265 - 447,183,CorpusB_Chunks\B-GD-002\B-GD-002-C02.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-006-C01,B-GD-006,B,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusB_Chunks\B-GD-006\B-GD-006-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-006-C03,B-GD-006,B,N/A (Web Scraped / Text Extract),623 - 883,261,CorpusB_Chunks\B-GD-006\B-GD-006-C03.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-006-C05,B-GD-006,B,N/A (Web Scraped / Text Extract),1164 - 1320,157,CorpusB_Chunks\B-GD-006\B-GD-006-C05.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-007-C01,B-GD-007,B,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusB_Chunks\B-GD-007\B-GD-007-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-007-C06,B-GD-007,B,N/A (Web Scraped / Text Extract),1342 - 1591,250,CorpusB_Chunks\B-GD-007\B-GD-007-C06.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-007-C11,B-GD-007,B,N/A (Web Scraped / Text Extract),2805 - 3090,286,CorpusB_Chunks\B-GD-007\B-GD-007-C11.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-007-C16,B-GD-007,B,N/A (Web Scraped / Text Extract),4097 - 4457,361,CorpusB_Chunks\B-GD-007\B-GD-007-C16.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-007-C21,B-GD-007,B,N/A (Web Scraped / Text Extract),5709 - 5998,290,CorpusB_Chunks\B-GD-007\B-GD-007-C21.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-008-C01,B-GD-008,B,N/A (Web Scraped / Text Extract),1 - 263,263,CorpusB_Chunks\B-GD-008\B-GD-008-C01.txt,"A,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-008-C02,B-GD-008,B,N/A (Web Scraped / Text Extract),264 - 566,303,CorpusB_Chunks\B-GD-008\B-GD-008-C02.txt,"A,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-009-C01,B-GD-009,B,N/A (Web Scraped / Text Extract),1 - 307,307,CorpusB_Chunks\B-GD-009\B-GD-009-C01.txt,"A,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-009-C04,B-GD-009,B,N/A (Web Scraped / Text Extract),862 - 987,126,CorpusB_Chunks\B-GD-009\B-GD-009-C04.txt,"A,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-011-C01,B-GD-011,B,N/A (Web Scraped / Text Extract),1 - 255,255,CorpusB_Chunks\B-GD-011\B-GD-011-C01.txt,"M,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-011-C02,B-GD-011,B,N/A (Web Scraped / Text Extract),256 - 524,269,CorpusB_Chunks\B-GD-011\B-GD-011-C02.txt,"M,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-012-C01,B-GD-012,B,N/A (Web Scraped / Text Extract),1 - 267,267,CorpusB_Chunks\B-GD-012\B-GD-012-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-012-C03,B-GD-012,B,N/A (Web Scraped / Text Extract),531 - 691,161,CorpusB_Chunks\B-GD-012\B-GD-012-C03.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-013-C01,B-GD-013,B,N/A (Web Scraped / Text Extract),1 - 252,252,CorpusB_Chunks\B-GD-013\B-GD-013-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-013-C02,B-GD-013,B,N/A (Web Scraped / Text Extract),253 - 569,317,CorpusB_Chunks\B-GD-013\B-GD-013-C02.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-015-C01,B-GD-015,B,N/A (Web Scraped / Text Extract),1 - 342,342,CorpusB_Chunks\B-GD-015\B-GD-015-C01.txt,"M,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-015-C03,B-GD-015,B,N/A (Web Scraped / Text Extract),593 - 779,187,CorpusB_Chunks\B-GD-015\B-GD-015-C03.txt,"M,A,M,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-016-C01,B-GD-016,B,N/A (Web Scraped / Text Extract),1 - 284,284,CorpusB_Chunks\B-GD-016\B-GD-016-C01.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-016-C03,B-GD-016,B,N/A (Web Scraped / Text Extract),535 - 662,128,CorpusB_Chunks\B-GD-016\B-GD-016-C03.txt,"M,A,A,A,A,A",gdelt-seafood-dwpe-alerts,media-signaling-and-border-rejections (external trade friction)
B-GD-017-C01,B-GD-017,B,N/A (Web Scraped / Text Extract),1 - 271,271,CorpusB_Chunks\B-GD-017\B-GD-017-C01.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-017-C02,B-GD-017,B,N/A (Web Scraped / Text Extract),272 - 485,214,CorpusB_Chunks\B-GD-017\B-GD-017-C02.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-018-C01,B-GD-018,B,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusB_Chunks\B-GD-018\B-GD-018-C01.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-018-C03,B-GD-018,B,N/A (Web Scraped / Text Extract),501 - 770,270,CorpusB_Chunks\B-GD-018\B-GD-018-C03.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-019-C01,B-GD-019,B,N/A (Web Scraped / Text Extract),1 - 263,263,CorpusB_Chunks\B-GD-019\B-GD-019-C01.txt,"M,M,A,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-019-C03,B-GD-019,B,N/A (Web Scraped / Text Extract),517 - 782,266,CorpusB_Chunks\B-GD-019\B-GD-019-C03.txt,"M,M,A,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-019-C05,B-GD-019,B,N/A (Web Scraped / Text Extract),1033 - 1231,199,CorpusB_Chunks\B-GD-019\B-GD-019-C05.txt,"M,M,A,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-020-C01,B-GD-020,B,N/A (Web Scraped / Text Extract),1 - 288,288,CorpusB_Chunks\B-GD-020\B-GD-020-C01.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-020-C03,B-GD-020,B,N/A (Web Scraped / Text Extract),555 - 835,281,CorpusB_Chunks\B-GD-020\B-GD-020-C03.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-020-C06,B-GD-020,B,N/A (Web Scraped / Text Extract),1362 - 1663,302,CorpusB_Chunks\B-GD-020\B-GD-020-C06.txt,"M,A,M,A,A,A",gdelt-spices-sps-hurdles,media-signaling-and-border-rejections (external trade friction)
B-GD-021-C01,B-GD-021,B,N/A (Web Scraped / Text Extract),1 - 270,270,CorpusB_Chunks\B-GD-021\B-GD-021-C01.txt,"M,A,M,A,A,A",gdelt-msme-trade-friction,media-signaling-and-border-rejections (external trade friction)
