doc_id,corpus_tier,source_name_instrument_body,title_url_query,retrieval_date_format_language,production_context,dqa_context_score,dqa_content_score,full_text_available,locus_tag,verification_logic,deident_status,access_status_notes
B-YT-011,B,YouTube / Rajput Jain and Associates  (Public Practitioner Forum),https://www.youtube.com/watch?v=-Dnxor5enTo,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA RCMC linking with IEC code MSME' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-apeda-rcmc-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-012,B,YouTube / ROHIT YADAV (Public Practitioner Forum),https://www.youtube.com/watch?v=6Ty2wgu4R20,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA RCMC linking with IEC code MSME' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-apeda-rcmc-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-013,B,YouTube / KG TAX CONSULTANTS PVT LTD (Public Practitioner Forum),https://www.youtube.com/watch?v=Zh1xJxQB18k,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA RCMC linking with IEC code MSME' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-apeda-rcmc-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-014,B,YouTube / MyOnlineCA (Public Practitioner Forum),https://www.youtube.com/watch?v=pfGh3gEU4I4,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA RCMC linking with IEC code MSME' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-apeda-rcmc-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-015,B,YouTube / KG TAX CONSULTANTS PVT LTD (Public Practitioner Forum),https://www.youtube.com/watch?v=Wi2w6L_tMjc,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA TraceNet farm registration login error phytosanitary' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-tracenet-phytosanitary-errors,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-016,B,YouTube / Connecting India Exim Solution (Public Practitioner Forum),https://www.youtube.com/watch?v=J0gzljJ5BGk,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA TraceNet farm registration login error phytosanitary' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-tracenet-phytosanitary-errors,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-017,B,YouTube / Crops Information (Public Practitioner Forum),https://www.youtube.com/watch?v=z_QbGWbbkMw,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Basmati rice EU maximum residue limit tricyclazole rejection' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-basmati-eu-mrl-tricyclazole,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-018,B,YouTube / Commodity Today (Public Practitioner Forum),https://www.youtube.com/watch?v=VNcSUCF0iKU,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Basmati rice EU maximum residue limit tricyclazole rejection' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-basmati-eu-mrl-tricyclazole,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-019,B,YouTube / Achievers (Public Practitioner Forum),https://www.youtube.com/watch?v=NpGzHfhUkoY,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Basmati rice EU maximum residue limit tricyclazole rejection' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-basmati-eu-mrl-tricyclazole,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-020,B,YouTube / Achievers (Public Practitioner Forum),https://www.youtube.com/watch?v=evJBU_lKcVo,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Basmati rice EU maximum residue limit tricyclazole rejection' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-basmati-eu-mrl-tricyclazole,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-021,B,YouTube / KG TAX CONSULTANTS PVT LTD (Public Practitioner Forum),https://www.youtube.com/watch?v=Zh1xJxQB18k,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'FSSAI central license linking DGFT IEC ICEGATE mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fssai-iec-icegate-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-022,B,YouTube / Surazz Gupta (Public Practitioner Forum),https://www.youtube.com/watch?v=OODo5hCtpZQ,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'FSSAI central license linking DGFT IEC ICEGATE mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fssai-iec-icegate-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-023,B,YouTube / Nigam Accounts (Public Practitioner Forum),https://www.youtube.com/watch?v=RBj5THg-iTA,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'FSSAI central license linking DGFT IEC ICEGATE mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fssai-iec-icegate-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-024,B,YouTube / Kundigisign Business Development Executive (Public Practitioner Forum),https://www.youtube.com/watch?v=XCDnXHcqfMs,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'FSSAI central license linking DGFT IEC ICEGATE mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fssai-iec-icegate-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-025,B,YouTube / GST Practitioners (Public Practitioner Forum),https://www.youtube.com/watch?v=fAuGVpAydMQ,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'FSSAI central license linking DGFT IEC ICEGATE mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fssai-iec-icegate-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-026,B,YouTube / Safe Food Resources (Public Practitioner Forum),https://www.youtube.com/watch?v=lSE6QKyqr_o,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'US FDA FSMA foreign supplier verification program audit India' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fda-fsma-fsvp-audit-india,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-027,B,YouTube / International Food Safety & Quality Network (Public Practitioner Forum),https://www.youtube.com/watch?v=J-klyaeAtxA,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'US FDA FSMA foreign supplier verification program audit India' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fda-fsma-fsvp-audit-india,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-028,B,YouTube / FSVP Services (Public Practitioner Forum),https://www.youtube.com/watch?v=3F-tkm2t-1o,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'US FDA FSMA foreign supplier verification program audit India' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fda-fsma-fsvp-audit-india,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-029,B,YouTube / SafetyChain Software (Public Practitioner Forum),https://www.youtube.com/watch?v=EAFvnKHQAag,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'US FDA FSMA foreign supplier verification program audit India' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fda-fsma-fsvp-audit-india,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-030,B,YouTube / Quality Smart Solutions (Public Practitioner Forum),https://www.youtube.com/watch?v=T3pLp1dF08Y,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'US FDA FSMA foreign supplier verification program audit India' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-fda-fsma-fsvp-audit-india,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-031,B,YouTube / euronews (Public Practitioner Forum),https://www.youtube.com/watch?v=8FH7szVMZDA,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Marine products catch certificate EU IUU fishing regulation' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-mpeda-catch-certificate-iuu,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-032,B,YouTube / ICCFoundation (Public Practitioner Forum),https://www.youtube.com/watch?v=7YNPuZQ9jAg,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Marine products catch certificate EU IUU fishing regulation' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-mpeda-catch-certificate-iuu,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-033,B,YouTube / DiplomacyChannel (Public Practitioner Forum),https://www.youtube.com/watch?v=3svwlSAlg5M,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Marine products catch certificate EU IUU fishing regulation' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-mpeda-catch-certificate-iuu,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-034,B,YouTube / Marine Management Organisation (MMO) (Public Practitioner Forum),https://www.youtube.com/watch?v=jIs3Vyg5PoI,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Marine products catch certificate EU IUU fishing regulation' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-mpeda-catch-certificate-iuu,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-035,B,YouTube / Marine Management Organisation (MMO) (Public Practitioner Forum),https://www.youtube.com/watch?v=9KJo2dx_hJs,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'Marine products catch certificate EU IUU fishing regulation' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-mpeda-catch-certificate-iuu,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-036,B,YouTube / the outlier 73 (Public Practitioner Forum),https://www.youtube.com/watch?v=9oi_T1F-A_g,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'RoDTEP scheme export duty scrip audit reimbursement FEMA' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-rodtep-scrip-reimbursement-fema,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-037,B,YouTube / Drip Capital (Public Practitioner Forum),https://www.youtube.com/watch?v=Ac8_-XPM2ws,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'RoDTEP scheme export duty scrip audit reimbursement FEMA' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-rodtep-scrip-reimbursement-fema,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-038,B,YouTube / CA Devesh Thakur (Public Practitioner Forum),https://www.youtube.com/watch?v=JVfZkCFjFiw,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'RoDTEP scheme export duty scrip audit reimbursement FEMA' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-rodtep-scrip-reimbursement-fema,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-039,B,YouTube / TPA INDORE (Public Practitioner Forum),https://www.youtube.com/watch?v=_8T0-MKIUyw,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'RoDTEP scheme export duty scrip audit reimbursement FEMA' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-rodtep-scrip-reimbursement-fema,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
