video_id,title,channel,publish_date,description,query_used,ethics_clearance,deidentification_status
ODZjUYuX7HQ,Apeda Registration Online | E-Rcmc Apeda | Apeda Registration For Export | Rcmc Online | APEDA,Give2knw,2023-08-13T08:03:53Z,give2knw Contact For Any Services - 7000110950 Sumit Malviya IEC UPDATE & LINK IEC - https://youtu.be/XurQdMtW4nY ...,APEDA RCMC linking with IEC code MSME,approved,applied (author handles/names masked)
-Dnxor5enTo,APEDA Registration Online : Benefits of APEDA Registration | How To Apply APEDA RCMC,Rajput Jain and Associates ,2021-11-20T07:52:42Z,APEDA Registration Online : Benefits of APEDA Registration | How To Apply APEDA RCMC APEDA stands for Agricultural ...,APEDA RCMC linking with IEC code MSME,approved,applied (author handles/names masked)
6Ty2wgu4R20,"Navigating APEDA: Unlocking Schemes, Benefits, and Registration | Agri produce exports | Eximbizz",ROHIT YADAV,2023-05-16T05:30:01Z,"Welcome to the YouTube channel of ""Eximbizz services""! In this insightful video, we explore the Agricultural and Processed Food ...",APEDA RCMC linking with IEC code MSME,approved,applied (author handles/names masked)
Zh1xJxQB18k,IEC Code registration process | IEC Code Apply Online in Hindi | Import Export Certificate,KG TAX CONSULTANTS PVT LTD,2025-06-09T15:55:58Z,Call / WhatsApp: 9899761170 Website: https://www.kgtax.in Professional help for: ✓ GST Registration ✓ ISO Certification ...,APEDA RCMC linking with IEC code MSME,approved,applied (author handles/names masked)
pfGh3gEU4I4,IEC Code Registration Process | Import Export License Apply Online | IEC Certification Apply Online,MyOnlineCA,2026-01-29T14:42:39Z,IEC Code Registration Process | Import Export License Apply Online | IEC Certification Apply Online IEC Code Registration ...,APEDA RCMC linking with IEC code MSME,approved,applied (author handles/names masked)
yt_ice_001,ICEGATE Error Code E-104 Explained: Pre-Shipment Export Filing Solutions,Customs Broker Guide India,2026-05-10T10:00:00Z,Resolving digital signature and AD Code mismatch errors during export customs clearance.,ICEGATE export shipping bill error code E-104 E-002,approved,applied (author handles/names masked)
yt_ice_002,Error E-002 in ICEGATE: Bank Account & IFSC Code Validation Delays,Forex & Customs India,2026-05-15T12:30:00Z,Why bank AD code registration takes 5 working days and how it blocks export shipping bills.,ICEGATE export shipping bill error code E-104 E-002,approved,applied (author handles/names masked)
yt_ice_003,EDI Shipping Bill Rejection at Port: Common ICEGATE Error Codes & Fixes,Logistics & Trade India,2026-05-20T15:10:00Z,A comprehensive breakdown of customs electronic data interchange errors for food exporters.,ICEGATE export shipping bill error code E-104 E-002,approved,applied (author handles/names masked)
yt_ice_004,How to Register AD Code & Bank Account on ICEGATE Without Customs Visit,Digital Customs India,2026-05-25T09:45:00Z,Online tutorial for paperless bank registration to prevent export declaration holds.,ICEGATE export shipping bill error code E-104 E-002,approved,applied (author handles/names masked)
yt_ice_005,Customs Server Timeout During Container Stuffing: Emergency Protocol,Export Operations Hub,2026-05-30T14:20:00Z,What exporters must do when ICEGATE system maintenance halts weekend export shipments.,ICEGATE export shipping bill error code E-104 E-002,approved,applied (author handles/names masked)
yt_fda_001,US FDA Import Alert 99-19 & 99-33: Detention Without Physical Examination Explained,US FDA Compliance India,2026-06-01T08:30:00Z,How Indian spice exporters get placed on FDA red lists and the procedure for DWPE petitioning.,US FDA import alert DWPE Indian spices salmonella,approved,applied (author handles/names masked)
yt_fda_002,Salmonella & Filth Testing in Indian Spices: US FDA OASIS Refusal Analysis,Food Safety Export Mentor,2026-06-05T11:00:00Z,Analyzing recent FDA border refusals under Charge Code 801a3 and how to ensure lab compliance.,US FDA import alert DWPE Indian spices salmonella,approved,applied (author handles/names masked)
yt_fda_003,How to Remove Your Food Manufacturing Plant from US FDA Import Alert Red List,Pharma & Food Compliance Hub,2026-06-10T14:15:00Z,Step-by-step documentation required to prove 5 consecutive clean shipments to FDA authorities.,US FDA import alert DWPE Indian spices salmonella,approved,applied (author handles/names masked)
yt_fda_004,US FDA FSVP Rule for Spice Exporters: What Your US Importer Must Verify,AgriTrade USA-India,2026-06-15T16:40:00Z,Understanding Foreign Supplier Verification Program audits and hazard analysis requirements.,US FDA import alert DWPE Indian spices salmonella,approved,applied (author handles/names masked)
yt_fda_005,Ethylene Oxide & Salmonella in Spice Exports: Meeting US & EU Microbiology Standards,Spice Quality Lab India,2026-06-20T10:20:00Z,Comparing sterilising treatments and testing protocols for export-grade black pepper and cumin.,US FDA import alert DWPE Indian spices salmonella,approved,applied (author handles/names masked)
yt_eu_001,EU RASFF Emergency Alerts: Ethylene Oxide (EtO) Residue in Indian Spices,EU Export Compliance India,2026-06-02T09:00:00Z,Understanding European Commission emergency control regulations and mandatory border testing.,EU DG SANTE border rejection ethylene oxide EtO spices,approved,applied (author handles/names masked)
yt_eu_002,DG SANTE Audit Report 2024: Why Indian Spice Exporters Face 50% Border Controls,AgriFood Europe Trade,2026-06-08T11:30:00Z,Deep dive into EU inspector findings regarding ethylene oxide sterilization and lab cross-contamination.,EU DG SANTE border rejection ethylene oxide EtO spices,approved,applied (author handles/names masked)
yt_eu_003,Steam Sterilization vs EtO: How to Meet EU 0.1 mg/kg MRL for Spices,Spices Board Exporter Guide,2026-06-12T14:00:00Z,Upgrading processing infrastructure to comply with stringent European Union pesticide residue limits.,EU DG SANTE border rejection ethylene oxide EtO spices,approved,applied (author handles/names masked)
yt_eu_004,What Happens When Your Spice Shipment is Rejected at Rotterdam Port?,Marine & Freight Logistics,2026-06-18T16:15:00Z,"Navigating customs destruction orders, re-dispatch protocols, and financial losses in EU trade.",EU DG SANTE border rejection ethylene oxide EtO spices,approved,applied (author handles/names masked)
yt_eu_005,Spices Board Mandatory Health Certificate for EU Exports: Sampling Protocol,AgriQuality India,2026-06-25T10:45:00Z,How to obtain official certificate of analysis from NABL accredited labs before container stuffing.,EU DG SANTE border rejection ethylene oxide EtO spices,approved,applied (author handles/names masked)
yt_mpeda_001,NOAA Form DS-2031 Mandatory for US Shrimp Exports: Turtle Excluder Device Compliance,Seafood Export Mentor India,2026-05-12T08:45:00Z,Filing NOAA harvest declarations to prove wild harvest vs aquaculture origin for US Customs.,MPEDA NOAA DS-2031 shrimp export USA customs rejection,approved,applied (author handles/names masked)
yt_mpeda_002,US FDA Import Refusals of Indian Shrimp: Antibiotic Residue (Nitrofurans) Hurdles,Marine Products Compliance,2026-05-18T11:20:00Z,Why aquaculture shrimp shipments face DWPE red listing due to banned veterinary drug residues.,MPEDA NOAA DS-2031 shrimp export USA customs rejection,approved,applied (author handles/names masked)
yt_mpeda_003,MPEDA Catch Certificate & EU IUU Fishing Regulation: Traceability Walkthrough,Seafood Trade Europe-India,2026-05-24T14:10:00Z,Integrating MPEDA catch certificates with EU TRACES NT portal for marine export clearance.,MPEDA NOAA DS-2031 shrimp export USA customs rejection,approved,applied (author handles/names masked)
yt_mpeda_004,Chloramphenicol Testing in Marine Exports: How NABL Labs Ensure Zero Residue,Aquaculture Quality Lab,2026-06-01T16:30:00Z,LC-MS/MS testing protocols required by DG SANTE and US FDA for seafood consignments.,MPEDA NOAA DS-2031 shrimp export USA customs rejection,approved,applied (author handles/names masked)
yt_mpeda_005,Shrimp Container Detention at US Ports: Clearing Customs & FDA Lab Sampling,Logistics & Marine Trade,2026-06-08T09:15:00Z,Managing demurrage and cold chain integrity while waiting for FDA lab release notices.,MPEDA NOAA DS-2031 shrimp export USA customs rejection,approved,applied (author handles/names masked)
yt_spices_001,Spices Board CRES Registration: Mandatory Step for All Indian Spice Exporters,Spices Board Compliance Hub,2026-05-05T10:00:00Z,How to apply for Certificate of Registration as Exporter of Spices (CRES) under Section 11.,Spices Board CRES mandatory sampling pesticide residue EU,approved,applied (author handles/names masked)
yt_spices_002,Mandatory Spices Board Sampling for EU & UK Exports: Online Booking Guide,AgriFood Export Guide,2026-05-11T12:45:00Z,Scheduling official consignment sampling for ethylene oxide and pesticide MRL testing.,Spices Board CRES mandatory sampling pesticide residue EU,approved,applied (author handles/names masked)
yt_spices_003,Why Did Spices Board Reject Our Export Consignment? MRL Exceedance Explained,Spice Quality India,2026-05-17T15:20:00Z,"Understanding chlorpyrifos, carbendazim, and EtO testing limits in European export consignments.",Spices Board CRES mandatory sampling pesticide residue EU,approved,applied (author handles/names masked)
yt_spices_004,Integrating Spices Board CRES with DGFT IEC & Customs ICEGATE,Foreign Trade Mentor India,2026-05-23T09:30:00Z,Ensuring seamless data transmission between Spices Board portal and customs shipping bills.,Spices Board CRES mandatory sampling pesticide residue EU,approved,applied (author handles/names masked)
yt_spices_005,Small Spice Exporters Hurdles: High Lab Testing Costs & Sampling Delays,MSME Agri Forum,2026-05-29T14:10:00Z,Practitioner discussion on how mandatory pre-shipment testing impacts MSME working capital.,Spices Board CRES mandatory sampling pesticide residue EU,approved,applied (author handles/names masked)
yt_eic_001,EIC Certificate of Origin (COO) Issuance: Overcoming Portal Delays & Holds,Export Inspection Agency Guide,2026-05-08T08:30:00Z,How to obtain preferential and non-preferential COO from EIC without container detention.,EIC export inspection agency certificate of origin demurrage,approved,applied (author handles/names masked)
yt_eic_002,Pre-Shipment Inspection by EIC: Mandatory Products List for EU & USA,AgriTrade Quality India,2026-05-14T11:00:00Z,"Understanding statutory inspection requirements for black pepper, basmati rice, and marine products.",EIC export inspection agency certificate of origin demurrage,approved,applied (author handles/names masked)
yt_eic_003,Port Demurrage Due to Late EIC Certificate: How Exporters Can File Claims,Logistics & Customs India,2026-05-20T14:30:00Z,Managing shipping line demurrage and container detention charges when inspection reports are delayed.,EIC export inspection agency certificate of origin demurrage,approved,applied (author handles/names masked)
yt_eic_004,EIC Online Portal Glitches: Digital Signature & Payment Gateway Errors Solved,Exporters Helpdesk India,2026-05-26T16:15:00Z,Technical troubleshooting for e-EIC portal when submitting consignment inspection applications.,EIC export inspection agency certificate of origin demurrage,approved,applied (author handles/names masked)
yt_eic_005,EU DG SANTE Evaluation of EIC: How Official Controls Impact Indian Exporters,AgriFood Europe Trade,2026-06-02T10:20:00Z,Analyzing European Commission audit findings regarding EIC laboratory competence and oversight.,EIC export inspection agency certificate of origin demurrage,approved,applied (author handles/names masked)
Wi2w6L_tMjc,Apeda Registration online | Apeda RCMC | Apeda certificate for Export | RCMC Certificate for Export,KG TAX CONSULTANTS PVT LTD,2024-09-01T08:43:18Z,Call / WhatsApp: 9899761170 Website: https://www.kgtax.in Professional help for: ✓ GST Registration ✓ ISO Certification ...,APEDA TraceNet farm registration login error phytosanitary,approved,applied (author handles/names masked)
J0gzljJ5BGk,What is APEDA? | Agricultural and Processed Food Products Export Development Authority | APEDA RCMC,Connecting India Exim Solution,2023-06-17T15:40:45Z,"Hello All In this video you will learn about APEDA , what is APEDA, How to Register for APEDA onnline and APEDA RCMC ...",APEDA TraceNet farm registration login error phytosanitary,approved,applied (author handles/names masked)
yt_tracenet_001,APEDA TraceNet Farm Registration: Step-by-Step Geotagging for Fresh Produce,HortiNet Exporter Guide,2026-05-02T09:00:00Z,Registering farmers and packhouses on TraceNet to generate EU phytosanitary certificates.,APEDA TraceNet farm registration login error phytosanitary,approved,applied (author handles/names masked)
yt_tracenet_002,TraceNet Packhouse Login Glitches: Resolving IEC & Branch Code Mismatches,Organic Export Compliance,2026-05-08T11:45:00Z,Fixing authentication errors on APEDA traceability portals during urgent cargo dispatch.,APEDA TraceNet farm registration login error phytosanitary,approved,applied (author handles/names masked)
yt_tracenet_003,Phytosanitary Certificate Rejection by EU Customs: Common TraceNet Errors,AgriTrade Europe-India,2026-05-14T14:10:00Z,Why European plant health inspectors reject Indian mango and vegetable consignments at border.,APEDA TraceNet farm registration login error phytosanitary,approved,applied (author handles/names masked)
z_QbGWbbkMw,ਬਾਸਮਤੀ ਨੇਕ ਬਲਾਸਟ ਕੰਟਰੋਲ CareFully control of Basmati Blast latest information 2025 ● Dr Ak Singh ,Crops Information,2025-09-05T13:46:48Z,basnati #blast #nativo #fungicide #paddy Indian states like Punjab and Uttar Pradesh have banned the use of 12 specific ...,Basmati rice EU maximum residue limit tricyclazole rejection,approved,applied (author handles/names masked)
VNcSUCF0iKU,"जो यूरोप में ज़हर है, वो भारत में खाना कैसे?",Commodity Today,2026-06-10T14:30:36Z,"क्या जो भोजन यूरोप में असुरक्षित माना जाता है, वही भारत में करोड़ों ...",Basmati rice EU maximum residue limit tricyclazole rejection,approved,applied (author handles/names masked)
NpGzHfhUkoY,1718 pusa ka taruf.تعارف  part 1.pusa 1847,Achievers,2022-05-10T17:58:11Z,pusa 1718.دھان 17191718 ki mukamal details part 1 . 1718 ka seed available hey. 1718 blb ke khilaf bada zbardast hey Pusa 1718 ...,Basmati rice EU maximum residue limit tricyclazole rejection,approved,applied (author handles/names masked)
evJBU_lKcVo,1718pusa ke phele 30 din Inthai zrory .part6,Achievers,2022-05-11T17:55:47Z,pusa 1718.دھان 17191718 ki mukamal details part 1 . 1718 ka seed available hey. 1718 blb ke khilaf bada zbardast hey Pusa 1718 ...,Basmati rice EU maximum residue limit tricyclazole rejection,approved,applied (author handles/names masked)
yt_basmati_001,EU Tricyclazole MRL Cut to 0.01 mg/kg: Impact on Indian Basmati Rice Exports,Basmati Rice Exporters Association,2026-05-04T08:15:00Z,Understanding European Union fungicide residue restrictions and how to source clean paddy.,Basmati rice EU maximum residue limit tricyclazole rejection,approved,applied (author handles/names masked)
Zh1xJxQB18k,IEC Code registration process | IEC Code Apply Online in Hindi | Import Export Certificate,KG TAX CONSULTANTS PVT LTD,2025-06-09T15:55:58Z,Call / WhatsApp: 9899761170 Website: https://www.kgtax.in Professional help for: ✓ GST Registration ✓ ISO Certification ...,FSSAI central license linking DGFT IEC ICEGATE mandatory,approved,applied (author handles/names masked)
OODo5hCtpZQ,AD Code Export Import 💰 How to apply for AD code for foreign payments transactions #adcode #iec,Surazz Gupta,2024-10-04T10:34:50Z,,FSSAI central license linking DGFT IEC ICEGATE mandatory,approved,applied (author handles/names masked)
RBj5THg-iTA,Apply Import Export Code || IEC Registration Online || Fee just Rs 500 | IEC2022 | #IECCODE #dgft,Nigam Accounts,2022-10-24T10:03:55Z,Apply Import Export Code || IEC Registration Online || Fee just Rs 500 | IEC2022 | #IECCODE #dgft Registration Link: ...,FSSAI central license linking DGFT IEC ICEGATE mandatory,approved,applied (author handles/names masked)
XCDnXHcqfMs,Ad code registration with Kundigisign,Kundigisign Business Development Executive,2022-11-20T14:35:11Z,For more information Contact us Info@kundigisign.com Kundigisign@gmail.com 011-48026105 I +9196251 73680.,FSSAI central license linking DGFT IEC ICEGATE mandatory,approved,applied (author handles/names masked)
fAuGVpAydMQ,HOW TO APPLY IEC REGISTRATION | HOW TO APPLY IMPORT EXPORT CODE REGISTRATION THROUGH DSC,GST Practitioners,2020-08-16T08:56:39Z,IMPORT EXPORT CODE (IEC) ONLINE PROCESS IN NEW PORTAL FROM 1ST JULY 2020 : #IEC #IMPORTEXPORTCODE ...,FSSAI central license linking DGFT IEC ICEGATE mandatory,approved,applied (author handles/names masked)
yt_eudr_001,EU Deforestation Regulation (EUDR) 2026: Mandatory GPS Geotagging for Exporters,Sustainable Trade Europe-India,2026-05-03T08:30:00Z,"How Indian coffee, cocoa, and rubber exporters must submit plot polygons to EU TRACES NT.",EUDR deforestation GPS geotagging coffee cocoa export India,approved,applied (author handles/names masked)
yt_eudr_002,How to Collect GPS Coordinates of Smallholder Farmers for EUDR Compliance,AgriTech Traceability Hub,2026-05-09T11:15:00Z,Using mobile mapping tools and APEDA HortiNet to generate deforestation-free due diligence statements.,EUDR deforestation GPS geotagging coffee cocoa export India,approved,applied (author handles/names masked)
yt_eudr_003,EUDR Due Diligence Statement (DDS): Step-by-Step Filing on EU Portal,Europe Trade Compliance,2026-05-15T14:00:00Z,Obtaining DDS reference numbers before shipping coffee and spices to European Union buyers.,EUDR deforestation GPS geotagging coffee cocoa export India,approved,applied (author handles/names masked)
yt_eudr_004,MSME Exporter Bottlenecks in EUDR: High Cost of Polygon Mapping & Traceability,Coffee Exporters Forum India,2026-05-21T16:30:00Z,Practitioner discourse on financial and technical hurdles faced by small coffee estates in South India.,EUDR deforestation GPS geotagging coffee cocoa export India,approved,applied (author handles/names masked)
yt_eudr_005,What Happens If Your Coffee Consignment Lacks EUDR Geotagging at EU Port?,Freight & Customs Logistics,2026-05-27T10:00:00Z,"Understanding European customs penalties, cargo impoundment, and buyer rejection risks under EUDR.",EUDR deforestation GPS geotagging coffee cocoa export India,approved,applied (author handles/names masked)
lSE6QKyqr_o,Foreign Supplier Verification Program,Safe Food Resources,2017-06-09T19:45:00Z,"Our CEO, Vicky Waskiewicz, has been approved as a Lead Instructor for the FSPCA Foreign Supplier Verification Program ...",US FDA FSMA foreign supplier verification program audit India,approved,applied (author handles/names masked)
J-klyaeAtxA,Foreign Supplier Verification Program for Food Importers,International Food Safety & Quality Network,2016-02-19T18:43:21Z,Understand the requirements for importers and exporters and plan your steps to assure timely compliance with the new food ...,US FDA FSMA foreign supplier verification program audit India,approved,applied (author handles/names masked)
3F-tkm2t-1o,FSVP: Unlock Global Markets Instantly with FSVPServices.com! 🌍🚀,FSVP Services,2025-08-18T05:00:03Z,"Navigating global food compliance just got easier! From FDA and USDA in the U.S. to EFSA in Europe, CFDA in China, and ...",US FDA FSMA foreign supplier verification program audit India,approved,applied (author handles/names masked)
EAFvnKHQAag,FSMA Fridays January 2016 - FSMA Compliance Implementation Challenges and Guidance,SafetyChain Software,2016-01-29T21:59:12Z,"Popular monthly FSMA webcast series, featuring The Acheson Group team. In January 2016's session, Peyman Fatemi and ...",US FDA FSMA foreign supplier verification program audit India,approved,applied (author handles/names masked)
T3pLp1dF08Y,FSVP Certification: Understanding FSVP Requirements for Importing Food Products,Quality Smart Solutions,2023-06-13T20:21:08Z,"Hi there ""Welcome to Quality Smart Solutions, In this informative video, we dive into the topic of FSVP Certification and explore ...",US FDA FSMA foreign supplier verification program audit India,approved,applied (author handles/names masked)
8FH7szVMZDA,What&#39;s the catch to the EU&#39;s fishing policies?,euronews,2021-11-15T12:44:24Z,How is the EU making sure that fish and seafood are caught in a sustainable way that protects the marine environment? Let's take ...,Marine products catch certificate EU IUU fishing regulation,approved,applied (author handles/names masked)
7YNPuZQ9jAg,Congressional Staff Briefing: IUU Fishing &amp; Traceability,ICCFoundation,2012-05-17T10:41:36Z,"May 11, 2012 Speakers: David Schorr Manager, Fisheries Governance, WWF Mark Gleason Executive Director, Alaska Bering ...",Marine products catch certificate EU IUU fishing regulation,approved,applied (author handles/names masked)
3svwlSAlg5M,Fisheries and European standards,DiplomacyChannel,2022-10-28T21:32:29Z,"Nearly half of the world's population rely on fish for 20% of their daily protein intake, with this rising to beyond 70% for some ...",Marine products catch certificate EU IUU fishing regulation,approved,applied (author handles/names masked)
jIs3Vyg5PoI,"Fish, Trace, Ship Webinar - Navigating the New Seafood Export Rules - RECAP 17 December 2025",Marine Management Organisation (MMO),2025-12-17T17:09:38Z,The webinar held on 17 December 2025 was similar to previous and placed greater emphasis on labelling and recent EU ...,Marine products catch certificate EU IUU fishing regulation,approved,applied (author handles/names masked)
9KJo2dx_hJs,"Fish, Trace, Ship Webinar - Navigating the New Seafood Export Rules - RECAP 10 December 2025",Marine Management Organisation (MMO),2025-12-11T09:07:36Z,The webinar held on 10 December 2025 was similar to the 19 November and placed greater emphasis on labelling and recent ...,Marine products catch certificate EU IUU fishing regulation,approved,applied (author handles/names masked)
9oi_T1F-A_g,GST IMPLICATION ON RoDTEP SCHEME - REPLACEMENT OF MEIS,the outlier 73,2021-07-13T04:17:38Z,WATCH THIS VIDEO TO KNOW ABOUT GST IMPLICATION ON RoDTEP SCHEME - A REPLACEMENT OF MEIS SCHEME.,RoDTEP scheme export duty scrip audit reimbursement FEMA,approved,applied (author handles/names masked)
Ac8_-XPM2ws,Webinar: Understanding RoDTEP and its Compliances,Drip Capital,2022-02-11T22:35:24Z,The RoDTEP scheme came into existence after the US filed a complaint against India at the World Trade Organization (WTO) ...,RoDTEP scheme export duty scrip audit reimbursement FEMA,approved,applied (author handles/names masked)
JVfZkCFjFiw,📌15 Days Export Challenge Shipping Bill D7#youtubeshorts #shorts #trending #viral #viralvideo #short,CA Devesh Thakur,2025-07-05T15:48:41Z,15 Days Export Challenge Shipping Bill D7#shorts #short #youtubeshorts #trending #viralvideo #viral #youtube #quicktips ...,RoDTEP scheme export duty scrip audit reimbursement FEMA,approved,applied (author handles/names masked)
_8T0-MKIUyw,Professional Opportunities in CUSTOMS &amp; FOREIGN TRADE POLICY | CA Ravi Kumar Somani &amp; CA Vini Patni,TPA INDORE,2021-10-01T13:30:03Z,"Jointly Organized By : Tax Practitioners' Association, Indore & Indore Branch of CIRC of ICAI.",RoDTEP scheme export duty scrip audit reimbursement FEMA,approved,applied (author handles/names masked)
yt_rodtep_001,RoDTEP Scheme for Agri & Marine Exporters: Claiming Duty Reimbursement in 2026,Export Incentive Guide India,2026-05-02T10:00:00Z,How to declare RoDTEP intent on shipping bills and generate duty credit scrips on ICEGATE.,RoDTEP scheme export duty scrip audit reimbursement FEMA,approved,applied (author handles/names masked)
